Generation,xOC,xOB,xMM,h_value
0.0,0.3,0.3,0.4,0.9
4.081632653061225,0.039789563194690486,0.007864205870122185,0.9523462309351873,0.9
8.16326530612245,0.046884157880187814,0.001742869695988859,0.9513729724238349,0.9
12.244897959183675,0.051716901664625614,0.0002689202007981231,0.9480141781344669,0.9
16.3265306122449,0.052930255773528764,3.426056052923582e-05,0.9470354833709901,0.9
20.408163265306122,0.053131541235907055,4.180907710519499e-06,0.9468642929700717,0.9
24.48979591836735,0.05316037906950234,5.073584751805597e-07,0.9468391139988069,0.9
28.571428571428573,0.0531642678048152,6.142875597370838e-08,0.9468356656120414,0.9
32.6530612244898,0.053164776552305906,7.038740469619885e-09,0.9468352161091471,0.9
36.734693877551024,0.05316482916094867,1.7710027827127855e-09,0.9468351673888158,0.9
40.816326530612244,0.0531648430627604,3.1824335937803753e-10,0.9468351564325306,0.9
44.89795918367347,0.0531648467969574,-1.2786867597284589e-11,0.946835153159228,0.9
48.9795918367347,0.053164848563225654,-1.677007905530027e-10,0.9468351517269097,0.9
53.06122448979592,0.053164848333535984,-1.0107001034322604e-10,0.9468351518095915,0.9
57.142857142857146,0.05316484966928999,-6.334178886109871e-11,0.9468351504829805,0.9
61.224489795918366,0.05316485060567055,-1.8750444172497625e-11,0.9468351495292459,0.9
65.3061224489796,0.053164848669759415,-6.068312654641211e-12,0.9468351513690207,0.9
69.38775510204081,0.053164848236614076,-4.636076369313189e-12,0.9468351517922103,0.9
73.46938775510205,0.05316484780346873,-3.203840083985161e-12,0.9468351522154,0.9
77.55102040816327,0.053164847370323384,-1.771603798657138e-12,0.9468351526385896,0.9
81.63265306122449,0.05316484702909443,-6.405504916202235e-13,0.9468351529718931,0.9
85.71428571428572,0.053164846984368234,-4.810495160286703e-13,0.9468351530152433,0.9
89.79591836734694,0.05316484693964204,-3.215485404371174e-13,0.9468351530585936,0.9
93.87755102040816,0.05316484689491584,-1.6204756484556462e-13,0.9468351531019437,0.9
97.9591836734694,0.05316484687017899,-7.324233797093862e-14,0.9468351531259965,0.9
102.04081632653062,0.053164846869131414,-6.82182413336598e-14,0.9468351531271803,0.9
106.12244897959184,0.05316484686808384,-6.319414469638098e-14,0.9468351531283641,0.9
110.20408163265306,0.053164846867036264,-5.817004805910216e-14,0.9468351531295478,0.9
114.28571428571429,0.05316484686598869,-5.314595142182333e-14,0.9468351531307315,0.9
118.36734693877551,0.053164846864941114,-4.812185478454451e-14,0.9468351531319152,0.9
122.44897959183673,0.05316484686389354,-4.309775814726569e-14,0.9468351531330991,0.9
126.53061224489797,0.05316484686284596,-3.8073661509986855e-14,0.9468351531342828,0.9
130.6122448979592,0.05316484686179839,-3.304956487270804e-14,0.9468351531354665,0.9
134.69387755102042,0.05316484686075081,-2.8025468235429204e-14,0.9468351531366502,0.9
138.77551020408163,0.05316484685970324,-2.3001371598150404e-14,0.9468351531378341,0.9
142.85714285714286,0.05316484685865567,-1.797727496087157e-14,0.9468351531390178,0.9
146.9387755102041,0.05316484685760809,-1.2953178323592731e-14,0.9468351531402015,0.9
151.0204081632653,0.05316484685656052,-7.929081686313931e-15,0.9468351531413852,0.9
155.10204081632654,0.05316484685551294,-2.9049850490350957e-15,0.946835153142569,0.9
159.18367346938777,0.053164846855536525,-2.2377525426356088e-15,0.9468351531426725,0.9
163.26530612244898,0.05316484685568525,-2.0795008925696898e-15,0.9468351531426498,0.9
167.3469387755102,0.05316484685583397,-1.9212492425037695e-15,0.946835153142627,0.9
171.42857142857144,0.05316484685598269,-1.7629975924378495e-15,0.9468351531426044,0.9
175.51020408163265,0.05316484685613141,-1.6047459423719306e-15,0.9468351531425816,0.9
179.59183673469389,0.05316484685628013,-1.4464942923060106e-15,0.946835153142559,0.9
183.67346938775512,0.05316484685642885,-1.2882426422400904e-15,0.9468351531425362,0.9
187.75510204081633,0.05316484685657757,-1.1299909921741713e-15,0.9468351531425134,0.9
191.83673469387756,0.05316484685672629,-9.717393421082513e-16,0.9468351531424908,0.9
195.9183673469388,0.05316484685687501,-8.134876920423312e-16,0.946835153142468,0.9
200.0,0.05316484685702373,-6.552360419764121e-16,0.9468351531424453,0.9
0.0,0.3,0.3,0.4,0.7
4.081632653061225,0.2948931079396608,0.000280688712490384,0.7048262033478485,0.7
8.16326530612245,0.296240686337736,3.903928954722043e-09,0.7037593097583352,0.7
12.244897959183675,0.29624070671712344,-3.2770285506106215e-11,0.7037592935208309,0.7
16.3265306122449,0.2962407076942739,-3.1972164096795867e-12,0.7037592922806226,0.7
20.408163265306122,0.29624070777822553,-2.9396169405381233e-13,0.7037592921955426,0.7
24.48979591836735,0.2962407078233945,-4.4529999154645775e-14,0.7037592921708907,0.7
28.571428571428573,0.29624070782422357,-4.034400151566446e-14,0.7037592921702824,0.7
32.6530612244898,0.29624070782505263,-3.615800387668313e-14,0.7037592921696743,0.7
36.734693877551024,0.29624070782588174,-3.197200623770181e-14,0.703759292169066,0.7
40.816326530612244,0.2962407078267108,-2.778600859872049e-14,0.7037592921684577,0.7
44.89795918367347,0.29624070782753986,-2.3600010959739164e-14,0.7037592921678495,0.7
48.9795918367347,0.2962407078283689,-1.941401332075784e-14,0.7037592921672412,0.7
53.06122448979592,0.29624070782919804,-1.522801568177652e-14,0.703759292166633,0.7
57.142857142857146,0.2962407078300271,-1.1042018042795198e-14,0.7037592921660247,0.7
61.224489795918366,0.29624070783085615,-6.8560204038138794e-15,0.7037592921654164,0.7
65.3061224489796,0.2962407078316852,-2.670022764832555e-15,0.7037592921648083,0.7
