Generation,xOC,xOB,xMM
0.0,0.2,0.2,0.6
2.0408163265306123,0.007564478454886599,0.31344059728099904,0.678994924264485
4.081632653061225,0.0029374805621832003,0.30143195790868005,0.6956305615286366
6.122448979591837,0.0018051898345380017,0.2956716652345979,0.7025231449308779
8.16326530612245,0.0013017965235094324,0.2919933855576627,0.7067048179188268
10.204081632653061,0.0010180981962693333,0.2893283426913535,0.7096535591123774
12.244897959183675,0.000836190425194764,0.2872554034354441,0.7119084061393611
14.285714285714286,0.000709652574538706,0.28556801444501073,0.7137223329804504
16.3265306122449,0.0006165449468995942,0.2841503467655069,0.7152331082875933
18.367346938775512,0.0005451612301988919,0.28293127259781914,0.716523566171982
20.408163265306122,0.0004886879011296575,0.28186413239860864,0.7176471797002615
22.448979591836736,0.0004428904654416054,0.2809167454746745,0.7186403640598839
24.48979591836735,0.0004049997218143548,0.2800660265478696,0.7195289737303159
26.53061224489796,0.00037312785873025396,0.2792948758293359,0.7203319963119339
28.571428571428573,0.00034594394939632217,0.2785902931393486,0.7210637629112551
30.612244897959183,0.0003224827092070344,0.27794217383506364,0.7217353434557292
32.6530612244898,0.0003020271926778792,0.2773425167158038,0.7223554560915183
34.69387755102041,0.00028403333336028284,0.2767848799883032,0.7229310866783365
36.734693877551024,0.00026808095807699813,0.27626400590765404,0.723467913134269
38.775510204081634,0.00025384055154633483,0.27577555034248397,0.7239706091059697
40.816326530612244,0.00024104993975318127,0.2753158835257349,0.724443066534512
42.85714285714286,0.00022949793747869312,0.274881943288094,0.7248885587744273
44.89795918367347,0.00021901261199335062,0.27447112408774565,0.7253098633002609
46.93877551020408,0.0002094522000700233,0.2740811884124506,0.7257093593874794
48.9795918367347,0.0002006992007094263,0.27371020505913074,0.7260890957401598
51.02040816326531,0.00019265521964318213,0.2733564943664074,0.7264508504139493
53.06122448979592,0.000185237234185127,0.27301858670307905,0.7267961760627357
55.10204081632653,0.0001783747083407906,0.2726951892936974,0.7271264359979618
57.142857142857146,0.0001720073331148173,0.27238515921171463,0.7274428334551705
59.183673469387756,0.00016608330856578623,0.27208748197214266,0.7277464347192915
61.224489795918366,0.00016055764307480616,0.27180125046187115,0.728038191895054
63.26530612244898,0.00015539139885316044,0.2715256541803338,0.7283189544208131
65.3061224489796,0.00015055046894532512,0.2712599634007632,0.7285894861302915
67.34693877551021,0.00014600500275722598,0.27100352052011534,0.7288504744771274
69.38775510204081,0.00014172867271132047,0.27075572996983605,0.7291025413574524
71.42857142857143,0.00013769816910391832,0.27051605064296164,0.7293462511879344
73.46938775510205,0.00013389284458190762,0.2702839904136437,0.7295821167417744
75.51020408163265,0.00013029427447784457,0.2700590995223489,0.7298106062031732
77.55102040816327,0.00012688600758354156,0.26984096641428734,0.7300321475781292
79.59183673469389,0.00012365333505066353,0.26962921394350725,0.7302471327214421
81.63265306122449,0.00012058291177373624,0.26942349354126854,0.7304559235469577
83.6734693877551,0.00011766281073191955,0.2692234854155489,0.7306588517737191
85.71428571428572,0.00011488221523898125,0.2690288936761679,0.7308562241085931
87.75510204081633,0.00011223133239151712,0.2688394446230451,0.7310483240445633
89.79591836734694,0.00010970127047585504,0.2686548844883164,0.7312354142412077
91.83673469387756,0.00010728391363840211,0.2684749772503957,0.731417738835966
93.87755102040816,0.00010497188780858458,0.26829950374412576,0.7315955243680657
95.91836734693878,0.00010275841425446026,0.26812825913131555,0.7317689824544301
97.9591836734694,0.00010063732134683176,0.26796105283588906,0.7319383098427642
100.0,9.860290911586488e-05,0.2677977061156754,0.7321036909752089
