Generation,xOC,xOB,xMM,W_average
0,0.2,0.5,0.3,0.3689248594468093
1,0.1462485540006142,0.5234361698839675,0.33031527611541833,0.3480470520490503
2,0.10891433194307051,0.5392483393900662,0.35183732866686335,0.31004995257433876
3,0.08403670316722558,0.5494578017466696,0.36650549508610486,0.26978152783511766
4,0.06728857211135442,0.5561034661377307,0.37660796175091493,0.23428116529686
5,0.05562283159483538,0.5605735619197125,0.3838036064854521,0.20494290407487648
6,0.04717775434931777,0.5636963843843712,0.38912586126631094,0.1810982836914937
7,0.04084353306235452,0.5659558060917855,0.39320066084585986,0.1616743100005311
8,0.03594541039210727,0.5676406183168125,0.3964139712910802,0.14570247804523126
9,0.03205912956119871,0.5689292499290781,0.3990116205097231,0.13241647064852957
10,0.028908248418268105,0.5699360277715592,0.40115572381017267,0.12123397519501267
11,0.02630648172042908,0.5707367499404118,0.4029567683391591,0.11171648431143374
12,0.024124433215227045,0.5713832384561667,0.40449232832860627,0.10353258088781307
13,0.022269771230805556,0.571911901324344,0.40581832744485047,0.0964295301181747
14,0.020675027795209643,0.5723489391423189,0.40697603306247143,0.09021245630854419
15,0.019289857779661346,0.5727136107987428,0.40799653142159575,0.08472933759644569
16,0.01807598856618529,0.5730203407112469,0.4089036707225678,0.079860210528335
17,0.01700384035667922,0.5732801139807124,0.40971604566260833,0.07550936068189282
18,0.016050211903978814,0.5735014218208841,0.41044836627513703,0.0715996233634357
19,0.015196662512152577,0.5736909158364887,0.41111242165135875,0.06806818121623805
20,0.014428359326829147,0.5738538695060617,0.4117177711671092,0.06486343192311475
21,0.013733241955082992,0.5739945093453166,0.4122722486996005,0.06194262816332774
22,0.013101407565157253,0.5741162563122628,0.41278233612258,0.05927008061656218
23,0.012524651801443588,0.5742219043208889,0.41325344387766755,0.05681577578829244
24,0.011996121545022448,0.5743137539900782,0.4136901244648994,0.05455430262111324
25,0.011510049115837888,0.5743937140664784,0.41409623681768376,0.052464011275756894
26,0.011061546565035569,0.5744633791912133,0.41447507424375124,0.05052634816496408
27,0.010646444847170778,0.5745240901411934,0.4148294650116359,0.04872532602705549
28,0.010261166892349809,0.5745769809385419,0.4151618521691084,0.04704709837219544
29,0.009902626554118875,0.5746230160159225,0.41547435742995875,0.04547961527142063
30,0.009568147501554798,0.5746630197775142,0.41576883272093107,0.04401234304105894
31,0.00925539762392978,0.5746977002914662,0.4160469020846041,0.042636034493142946
32,0.008962335603832272,0.5747276684145985,0.4163099959815692,0.0413425394867527
33,0.008687167111647175,0.5747534533332792,0.41655937955507366,0.04012464781472513
34,0.008428308664343163,0.5747755152713078,0.41679617606434916,0.03897595819966649
35,0.008184357632486717,0.5747942559425164,0.4170213864249969,0.037890768499225985
36,0.007954067211911367,0.5748100271960541,0.41723590559203455,0.036863983238863966
37,0.0077363254293063895,0.5748231382042667,0.41744053636642703,0.0358910353777942
38,0.007530137444770106,0.5748338614683893,0.4176360010868406,0.0349678198268105
39,0.007334610564007199,0.5748424378599346,0.41782295157605825,0.03409063671700885
40,0.007148941489215256,0.5748490808713361,0.41800197763944874,0.033256142797026905
41,0.006972405428808704,0.5748539802149175,0.41817361435627387,0.03246130963661711
42,0.006804346757908205,0.574857304882238,0.4183383483598539,0.031703387553715476
43,0.0066441709784220634,0.5748592057545749,0.4184966232670031,0.030979874374017797
44,0.006491337772908504,0.5748598178384311,0.41864884438866046,0.0302884882866407
45,0.006345354982771507,0.5748592621865043,0.4187953828307243,0.02962714418457851
46,0.006205773370645854,0.5748576475537824,0.41893657907557186,0.02899393298044845
47,0.006072182050558219,0.5748550718297532,0.4190727461196888,0.02838710347117601
48,0.005944204488761635,0.5748516232806964,0.4192041722305421,0.027805046393508198
49,0.0058214949939257915,0.5748473816303251,0.41933112337574924,0.027246280368465214
50,0.005703735628325273,0.5748424190023814,0.4194538453692935,0.026709439479349124
51,0.005590633482352368,0.5748368007449793,0.4195725657726685,0.026193262266547127
52,0.005481918263525178,0.5748305861533425,0.41968749558313256,0.02569658195455342
53,0.005377340158510684,0.5748238291049894,0.41979883073650015,0.025218317753552162
54,0.005276667932811543,0.5748165786192665,0.41990675344792217,0.02475746710049507
55,0.005179687237895285,0.5748088793513374,0.4200114334107675,0.024313098723628426
56,0.005086199099852923,0.5748007720292396,0.4201130288709077,0.023884346430488264
57,0.004996018567304186,0.5747922938413684,0.4202116875913276,0.023470403532994413
58,0.0049089734993351215,0.5747834787806919,0.4203075477199732,0.023070517834838045
59,0.004824903476855529,0.5747743579511134,0.4204007385720312,0.022683987116211758
60,0.004743658822976024,0.5747649598406476,0.4204913813363766,0.022310155059352115
61,0.004665099719891241,0.5747553105654363,0.42057958971467263,0.02194840756557745
62,0.004589095411369003,0.5747454340880935,0.42066547050053765,0.021598169420700655
63,0.004515523481328546,0.5747353524134012,0.42074912410527043,0.021258901271031236
64,0.0044442692001799644,0.5747250857639878,0.4208306450358324,0.020930096876786528
65,0.004375224931621645,0.5747146527382804,0.42091012233009817,0.02061128061371551
66,0.0043082895934775794,0.574704070452731,0.4209876399537916,0.02030200519719354
67,0.0042433681669227395,0.5746933546700691,0.4210632771630083,0.02000184960604858
68,0.004180371249109698,0.5746825199151142,0.42113710883577626,0.019710417185993492
69,0.0041192146447879795,0.5746715795794967,0.4212092057757155,0.019427333914820714
70,0.0040598189930116475,0.5746605460164745,0.421279634990514,0.01915224681351089
71,0.004002109425470748,0.5746494306268908,0.4213484599476387,0.018884822489154088
72,0.003946015253367413,0.5746382439371958,0.42141574080943706,0.01862474579711717
73,0.003891469680095065,0.5746269956703514,0.4214815346495538,0.018371718611239776
74,0.003838409537275809,0.5746156948103411,0.4215458956523833,0.018125458692029563
75,0.0037867750419720682,0.5746043496609287,0.42160887529709956,0.01788569864387695
76,0.0037365095731186765,0.5745929678992359,0.4216705225276458,0.0176521849532361
77,0.003687559465424793,0.5745815566246487,0.4217308839099268,0.017424677100540523
78,0.0036398738191747867,0.5745701224035049,0.4217900037773206,0.017202946739349176
79,0.003593404324516484,0.5745586713099662,0.42184792436551766,0.016986776936866156
80,0.0035481050989665166,0.5745472089634392,0.42190468593759456,0.016775961470552304
81,0.003503932536988125,0.5745357405628674,0.4219603269001448,0.016570304176059574
82,0.0034608451706086116,0.5745242709181841,0.42201488391120756,0.016369618342176533
83,0.0034188035401433144,0.5745128044791887,0.4220683919806683,0.016173726148881868
84,0.0033777700741819856,0.574501345362078,0.4221208845637404,0.01598245814496849
85,0.003337708978073031,0.5744898973738453,0.42217239364808207,0.015795652762028527
86,0.003298586130212291,0.5744784640347361,0.4222229498350519,0.015613155861883072
87,0.0032603689855069187,0.5744670485989317,0.4222725824155616,0.015434820314804776
88,0.003223026485442218,0.5744556540736147,0.42232131944094337,0.015260505606118756
89,0.003186528974230833,0.5744442832365567,0.4223691877892127,0.015090077468981028
90,0.0031508481205700335,0.5744329386523555,0.4224162132270748,0.014923407541326372
91,0.0031159568445746177,0.5744216226874332,0.4224624204679924,0.014760373045151702
92,0.003081829249490624,0.5744103375239032,0.42250783322660634,0.014600856486457913
93,0.0030484405578290776,0.5743990851723966,0.4225524742697746,0.0144447453743159
94,0.003015767051589764,0.5743878674839351,0.4225963654644754,0.014291931957650496
95,0.0029837860162728554,0.5743766861609296,0.4226395278227978,0.01414231297845375
96,0.0029524756884014643,0.5743655427673725,0.42268198154422626,0.013995789440244238
97,0.0029218152063010755,0.5743544387382906,0.4227237460554086,0.01385226639068585
98,0.0028917845639025905,0.5743433753885161,0.4227648400475815,0.013711652717366539
99,0.002862364567354612,0.5743323539208305,0.4228052815118151,0.013573860955818032
