Strength WMMd IH,Strength MMd GF IH,MM number
0.08,0.34,0.33132381288705837
0.08,0.36,0.3311975528365142
0.08,0.38,0.3310962245094011
0.08,0.4,0.33113201807669457
0.1,0.0,0.36699489711723243
0.1,0.02,0.36124069644016177
0.1,0.04,0.35618839173658334
0.1,0.06,0.3517644439883821
0.1,0.08,0.34794377036174245
0.1,0.1,0.34464285698134867
0.1,0.12,0.34185279696842896
0.1,0.14,0.3394785637613726
0.1,0.16,0.33753136577593157
0.1,0.18,0.3359042717839533
0.1,0.2,0.33463030415710276
0.1,0.22,0.33359104554174246
0.1,0.24,0.332841372663322
0.1,0.26,0.33225233619954164
0.1,0.28,0.33189952940052836
0.1,0.3,0.3316447291519747
0.1,0.32,0.33158238254024486
0.1,0.34,0.3315663695315805
0.1,0.36,0.3317077079919091
0.1,0.38,0.3318537641081234
0.1,0.4,0.332129691360052
0.12,0.0,0.36133157107813046
0.12,0.02,0.35605574805233237
0.12,0.04,0.35148035338457956
0.12,0.06,0.3475197688245291
0.12,0.08,0.34415813416485674
0.12,0.1,0.34129928863898007
0.12,0.12,0.33894499482988405
0.12,0.14,0.3369872395890138
0.12,0.16,0.3354489446742057
0.12,0.18,0.3342100553298457
0.12,0.2,0.3333159877708645
0.12,0.22,0.33263525486401874
0.12,0.24,0.3322354917863105
0.12,0.26,0.33197487560637035
0.12,0.28,0.331941880596469
0.12,0.3,0.33198573424427624
0.12,0.32,0.3322136680168212
0.12,0.34,0.33246743852597227
0.12,0.36,0.3328705950658247
0.12,0.38,0.3332588719062124
0.12,0.4,0.3337695824466069
0.14,0.0,0.3563518895908304
0.14,0.02,0.3515525167739267
0.14,0.04,0.3474508322682843
0.14,0.06,0.34394967030456824
0.14,0.08,0.3410421359665305
0.14,0.1,0.3386200115035856
0.14,0.12,0.3366953724633215
0.14,0.14,0.3351478571995793
0.14,0.16,0.33401164788651494
0.14,0.18,0.33315425625481276
0.14,0.2,0.33263295277842675
0.14,0.22,0.33230389280874967
0.14,0.24,0.3322468660032061
0.14,0.26,0.3323079295945736
0.14,0.28,0.33258775706504573
0.14,0.3,0.33292380880473105
0.14,0.32,0.33343536953919684
0.14,0.34,0.3339528717687726
0.14,0.36,0.3346116254873618
0.14,0.38,0.3352365492076762
0.14,0.4,0.33597631344384793
0.16,0.0,0.35200283566175533
0.16,0.02,0.3476765181099652
0.16,0.04,0.3440439972163721
0.16,0.06,0.3409970786988916
0.16,0.08,0.338537574620437
0.16,0.1,0.33654578668246077
0.16,0.12,0.33504374070132853
0.16,0.14,0.33389935863566556
0.16,0.16,0.3331576291089608
0.16,0.18,0.33267429572534496
0.16,0.2,0.3325179462162482
0.16,0.22,0.33253309777183404
0.16,0.24,0.3328110732307516
0.16,0.26,0.3331865575002022
0.16,0.28,0.33377174290363654
0.16,0.3,0.3343930951857613
0.16,0.32,0.3351812246081742
0.16,0.34,0.33595603062278706
0.16,0.36,0.336863816044419
0.16,0.38,0.3377194886478519
0.16,0.4,0.33868228050427185
0.18,0.0,0.34821029882300947
0.18,0.02,0.344377699811114
0.18,0.04,0.34120865777458137
0.18,0.06,0.3386097675323135
0.18,0.08,0.33655139332436707
0.18,0.1,0.33502258296994236
0.18,0.12,0.3339352900707609
0.18,0.14,0.3331862246161982
0.18,0.16,0.3327727372465886
0.18,0.18,0.33271341576013214
0.18,0.2,0.3329136793796325
0.18,0.22,0.33326508986203573
0.18,0.24,0.33386988946405166
0.18,0.26,0.334552122764206
0.18,0.28,0.33543483079519587
0.18,0.3,0.3363342410254566
0.18,0.32,0.33730545115569976
0.18,0.34,0.33841695710447967
0.18,0.36,0.3395669441359831
0.18,0.38,0.34064721692417166
0.18,0.4,0.3417331013502183
0.2,0.0,0.3449759433344244
0.2,0.02,0.34161004153811525
0.2,0.04,0.3388978399223385
0.2,0.06,0.3367398970860378
0.2,0.08,0.33510988361916616
0.2,0.1,0.3340010733185793
0.2,0.12,0.33332005894121175
0.2,0.14,0.3329579115211348
0.2,0.16,0.3329167228904295
0.2,0.18,0.3332200887736402
0.2,0.2,0.333768205665695
0.2,0.22,0.334447535137669
0.2,0.24,0.33537063623828145
0.2,0.26,0.3363516296685508
0.2,0.28,0.33752374129606044
0.2,0.3,0.3386937024075427
0.2,0.32,0.33992189012135726
0.2,0.34,0.3412816503212538
0.2,0.36,0.34266681178683234
0.2,0.38,0.34396534821300473
0.2,0.4,0.34525750822369583
0.22,0.0,0.34223713516945986
0.22,0.02,0.3393311981911742
0.22,0.04,0.3370684017391604
0.22,0.06,0.3353436054952307
0.22,0.08,0.3341337440122232
0.22,0.1,0.33343618112635043
0.22,0.12,0.333152455859946
0.22,0.14,0.333168371793753
0.22,0.16,0.3334905926178431
0.22,0.18,0.33414749162665586
0.22,0.2,0.3350343748773602
0.22,0.22,0.3360329883791669
0.22,0.24,0.3372656092920444
0.22,0.26,0.3385371347893678
0.22,0.28,0.33999032255220296
0.22,0.3,0.34142313226097304
0.22,0.32,0.34290089067067164
0.22,0.34,0.34450143309147174
0.22,0.36,0.3461146031757803
0.22,0.38,0.3476249319627227
0.22,0.4,0.3491172178436108
0.24,0.0,0.3399556223514043
0.24,0.02,0.33750217631436175
0.24,0.04,0.33563608562641273
0.24,0.06,0.33438064971642445
0.24,0.08,0.3335822062165388
0.24,0.1,0.3332866781143812
0.24,0.12,0.33332748320369
0.24,0.14,0.3337756123990781
0.24,0.16,0.33445203537213253
0.24,0.18,0.33545303528781234
0.24,0.2,0.33658840999976214
0.24,0.22,0.3379784008563245
0.24,0.24,0.33942338822893153
0.24,0.26,0.3410652309237674
0.24,0.28,0.3426968602783588
0.24,0.3,0.3444788432383712
0.24,0.32,0.34619864397244815
0.24,0.34,0.34803239615148623
0.24,0.36,0.3497639510574814
0.24,0.38,0.3515818802681132
0.24,0.4,0.35326806088856466
0.26,0.0,0.3380960875923885
0.26,0.02,0.3360870405543015
0.26,0.04,0.33464967317375166
0.26,0.06,0.33381407333649327
0.26,0.08,0.3334178944908278
0.26,0.1,0.33351482799523985
0.26,0.12,0.3339295159239116
0.26,0.14,0.3347413077264225
0.26,0.16,0.3357624858025731
0.26,0.18,0.3370979557750311
0.26,0.2,0.3385490674013132
0.26,0.22,0.34024468385528917
0.26,0.24,0.34197710064531733
0.26,0.26,0.34389659142711393
0.26,0.28,0.3457884612954323
0.26,0.3,0.3478213334772223
0.26,0.32,0.3497755738239464
0.26,0.34,0.35183490811704243
0.26,0.36,0.3537766615263501
0.26,0.38,0.3557964656058882
0.26,0.4,0.3576702656513692
0.28,0.0,0.3366259002348011
0.28,0.02,0.3350526541595286
0.28,0.04,0.33403510949386794
0.28,0.06,0.3336099150755971
0.28,0.08,0.33360651972622635
0.28,0.1,0.3340860639648744
0.28,0.12,0.33486493944203655
0.28,0.14,0.3360304550153731
0.28,0.16,0.3373867716635355
0.28,0.18,0.3390469448859608
0.28,0.2,0.34080447897204885
0.28,0.22,0.3427963227678794
0.28,0.24,0.34480731848677015
0.28,0.26,0.3469955658767565
0.28,0.28,0.3491393995892788
0.28,0.3,0.35141486781880255
0.28,0.32,0.3535959117316996
0.28,0.34,0.3558731847161008
0.28,0.36,0.358018172194835
0.28,0.38,0.360232876699639
0.28,0.4,0.36228800590440124
0.3,0.0,0.33551489436792525
0.3,0.02,0.3343684392747945
0.3,0.04,0.3337614614138482
0.3,0.06,0.3337369475132771
0.3,0.08,0.3341166018958963
0.3,0.1,0.334968702058939
0.3,0.12,0.33610189844300986
0.3,0.14,0.337611066005292
0.3,0.16,0.3392927937672011
0.3,0.18,0.3412678247008644
0.3,0.2,0.3433224007971861
0.3,0.22,0.3456010328100678
0.3,0.24,0.34788172260833694
0.3,0.26,0.3503298220738663
0.3,0.28,0.3527173306553031
0.3,0.3,0.3552271070365295
0.3,0.32,0.35762732027350674
0.3,0.34,0.3601149048196026
0.3,0.36,0.362456172321688
0.3,0.38,0.3648588246313758
0.3,0.4,0.3670890075403507
0.32,0.0,0.3347351665319324
0.32,0.02,0.3340061602038341
0.32,0.04,0.33380022011329447
0.32,0.06,0.3341664363382004
0.32,0.08,0.3349192229157014
0.32,0.1,0.33613368340995375
0.32,0.12,0.33761122133383065
0.32,0.14,0.3394538909113601
0.32,0.16,0.34145124359619655
0.32,0.18,0.3437312546600925
0.32,0.2,0.3460734706441819
0.32,0.22,0.34862945326687184
0.32,0.24,0.3511709571745068
0.32,0.26,0.353870027756767
0.32,0.28,0.35649294411825616
0.32,0.3,0.35922877892510363
0.32,0.32,0.3618405579877957
0.32,0.34,0.3645308723014493
0.32,0.36,0.3670614989322128
0.32,0.38,0.36964519662421175
0.32,0.4,0.37204419366994124
0.34,0.0,0.3342608856350139
0.34,0.02,0.33393973555198114
0.34,0.04,0.33412509229237236
0.34,0.06,0.33487192808721655
0.34,0.08,0.33598780437661524
0.34,0.1,0.33755434263018624
0.34,0.12,0.33936618056639556
0.34,0.14,0.34153217224547566
0.34,0.16,0.34383534736886745
0.34,0.18,0.3464104707726772
0.34,0.2,0.34903094149606434
0.34,0.22,0.3518548744048673
0.34,0.24,0.35464835036548176
0.34,0.26,0.3575895672132349
0.34,0.28,0.3604396739332699
0.34,0.3,0.3633933804130836
0.34,0.32,0.3662091792609887
0.34,0.34,0.3690947110272115
0.34,0.36,0.3718078365065323
0.34,0.38,0.3745657458556064
0.34,0.4,0.3771273733818151
0.36,0.0,0.33406813733195806
0.36,0.02,0.334145054300356
0.36,0.04,0.33471181709099096
0.36,0.06,0.33582905656929296
0.36,0.08,0.33729790440899804
0.36,0.1,0.33920619930455465
0.36,0.12,0.34134227776497583
0.36,0.14,0.34382142136444976
0.36,0.16,0.34642063895628333
0.36,0.18,0.3492810519584495
0.36,0.2,0.3521704417213698
0.36,0.22,0.35525299295902385
0.36,0.24,0.3582896657871489
0.36,0.26,0.36146428330414954
0.36,0.28,0.3645334401763113
0.36,0.3,0.36769692253795905
0.36,0.32,0.3707092723028109
0.36,0.34,0.3737825992660987
0.36,0.36,0.3766714395364361
0.36,0.38,0.3795968146922675
0.36,0.4,0.38231496170921675
0.38,0.0,0.33413476257053765
0.38,0.02,0.33453629819132613
0.38,0.04,0.33553799977487625
0.38,0.06,0.3369416205659503
0.38,0.08,0.33882703819599325
0.38,0.1,0.3410667701136111
0.38,0.12,0.34351704883583145
0.38,0.14,0.3462992198321289
0.38,0.16,0.34918475444417896
0.38,0.18,0.35221969716083845
0.38,0.2,0.35546976054877066
0.38,0.22,0.35869424189558763
0.38,0.24,0.3620728772131614
0.38,0.26,0.36535993921175847
0.38,0.28,0.36875241903944866
0.38,0.3,0.37211768839257325
0.38,0.32,0.3753192183331574
0.38,0.34,0.37857302567936724
0.38,0.36,0.38163088996011496
0.38,0.38,0.3845986442598721
0.38,0.4,0.3875857301860979
0.4,0.0,0.3344402216334037
0.4,0.02,0.3352171923894697
0.4,0.04,0.33658295608205413
0.4,0.06,0.3383336185089913
0.4,0.08,0.3405545123432018
0.4,0.1,0.343115398739299
0.4,0.12,0.3458698895240244
0.4,0.14,0.3489450387722609
0.4,0.16,0.352107247797291
0.4,0.18,0.35540564711334544
0.4,0.2,0.3589086545453159
0.4,0.22,0.36237121889008295
0.4,0.24,0.36597796981664493
0.4,0.26,0.3694794021870401
0.4,0.28,0.3730768335260471
0.4,0.3,0.37663602725767786
0.4,0.32,0.3800194787888135
0.4,0.34,0.38344657392032955
0.4,0.36,0.38666687817416573
0.4,0.38,0.3897880206226777
0.4,0.4,0.3929205827020307
