Generations no drug,Generations drug,MM fraction
10,6,0.31420084599677445
10,7,0.30865923438337245
10,8,0.4236712978419403
10,9,0.42514233707315724
10,10,0.42647233064978246
10,11,0.42767999694603015
10,12,0.42878103735085465
10,13,0.42978868434473644
10,14,0.43071413952026605
10,15,0.4315669287149867
10,16,0.4323551919270306
10,17,0.43308591778384753
10,18,0.4337651348103489
10,19,0.43439806771235945
10,20,0.4349892642121878
10,21,0.4355427001581245
11,2,0.3849755341924463
11,3,0.3657035302400578
11,4,0.34900758902338147
11,5,0.33423377110256725
11,6,0.3210480910610151
11,7,0.3089713445284101
11,8,0.42246821169590815
11,9,0.4239311988287244
11,10,0.4252555328836434
11,11,0.4264636137817421
11,12,0.42756966847590655
11,13,0.4285858033005998
11,14,0.4295223549995235
11,15,0.43038818204214474
11,16,0.4311909072320783
11,17,0.43193711696158016
11,18,0.43263252634429444
11,19,0.43328211484313345
11,20,0.4338902387533888
11,21,0.43446072392899654
12,2,0.3883335439440136
12,3,0.37009578259953
12,4,0.3541527331267884
12,5,0.33993517147661567
12,6,0.3271603853051715
12,7,0.3156073887315978
12,8,0.3413403916192098
12,9,0.4228319349557866
12,10,0.42414603969137177
12,11,0.4253498342149946
12,12,0.42645621062869105
12,13,0.42747623818009645
12,14,0.4284194440629791
12,15,0.4292940518287314
12,16,0.4301071841527012
12,17,0.43086503223161654
12,18,0.4315729973391124
12,19,0.43223580962875197
12,20,0.4328576262491577
12,21,0.4334421157281277
13,2,0.39126321063914044
13,3,0.3739610180882371
13,4,0.3587156093784586
13,5,0.3450263188662517
13,6,0.3326507678461372
13,7,0.32141273040484286
13,8,0.3107468249232125
13,9,0.42183001074598697
13,10,0.42313055359334856
13,11,0.4243265028892604
13,12,0.4254295575012296
13,13,0.42644983983866663
13,14,0.42739612686223893
13,15,0.42827604557569554
13,16,0.42909624253764744
13,17,0.42986252700745303
13,18,0.43057999336371666
13,19,0.4312531235797964
13,20,0.43188587627948183
13,21,0.43248175561485763
14,2,0.39384100375157854
14,3,0.3773878541375055
14,4,0.3627886552800791
14,5,0.3495989040534384
14,6,0.33760921690036005
14,7,0.3266672880945954
14,8,0.3165815136385813
14,9,0.4195872995315028
14,10,0.4221978172102175
14,11,0.4233832395617355
14,12,0.4244801484556835
14,13,0.4254978058542116
14,14,0.4264442980614621
14,15,0.42732669648500077
14,16,0.42815119848500793
14,17,0.4289232493702073
14,18,0.4296476465806003
14,19,0.4303286327160133
14,20,0.43096996581634006
14,21,0.4315749888925869
15,2,0.3961263437715513
15,3,0.38044629724523615
15,4,0.36644598622660146
15,5,0.35372744051562743
15,6,0.3421085481386622
15,7,0.33145810452447494
15,8,0.32165958385851035
15,9,0.32431778034581693
15,10,0.42133813543656584
15,11,0.42251114540821805
15,12,0.4235997279042878
15,13,0.4246124838038609
15,14,0.4255568669069603
15,15,0.4264394330710032
15,16,0.4272659596207806
15,17,0.4280415465627006
15,18,0.42877071188926386
15,19,0.429457461089656
15,20,0.4301053609727098
15,21,0.4307175945702574
16,2,0.3981660705282517
16,3,0.3831923311093062
16,4,0.3697476521522502
16,5,0.3574730177550333
16,6,0.3462090485043306
16,7,0.3358415361444631
16,8,0.32627391047255966
16,9,0.31693019023467534
16,10,0.42054332955589513
16,11,0.4217025608389227
16,12,0.4227811393833933
16,13,0.42378720383483365
16,14,0.4247276168666804
16,15,0.4256084631559486
16,16,0.42643512700473324
16,17,0.42721238994056715
16,18,0.4279444959751831
16,19,0.4286352298515319
16,20,0.4292879722339696
16,21,0.4299055771171772
17,2,0.39999758345157616
17,3,0.38567122726192116
17,4,0.3727427778262382
17,5,0.3608861404147143
17,6,0.34996101732121404
17,7,0.3398675006716498
17,8,0.330515556641888
17,9,0.3216906771966629
17,10,0.41980551248508813
17,11,0.42094893880486833
17,12,0.42201817014973636
17,13,0.4230161330655144
17,14,0.4239510834986753
