Generation,xOC,xOB,xMMd,xMMr,total xMM
0.0,0.2,0.3,0.2,0.3,0.5
1.0714285714285714,0.40072608718510444,0.20456179603203195,0.18806495087256664,0.20664716591029703,0.39471211678286366
2.142857142857143,0.5062981956390237,0.13835789891326078,0.20494025181539918,0.15040365363231645,0.35534390544771566
3.2142857142857144,0.5481660472652733,0.09460743300487694,0.24639561600026955,0.11083090372958045,0.35722651972985
4.285714285714286,0.5615815174169738,0.06228588764034301,0.3004812867567746,0.07565130818590876,0.37613259494268336
5.357142857142857,0.5619022230742274,0.038300148517301326,0.35418436641480616,0.045613261993665395,0.39979762840847155
6.428571428571429,0.5569281857866151,0.02190561043402048,0.39692153731697316,0.02424466646239144,0.4211662037793646
7.5,0.5513171627256073,0.011825192278090781,0.42517185920336964,0.011685785792932602,0.43685764499630225
8.571428571428571,0.5471060526508589,0.006147140679929769,0.4414559709992569,0.005290835669954739,0.4467468066692116
9.642857142857142,0.5445218888358236,0.0031274170650761367,0.4500379196867837,0.002312774412316767,0.45235069409910045
10.714285714285714,0.543112583714876,0.0015732048204871155,0.4543214530074773,0.0009927584571599252,0.4553142114646372
11.785714285714285,0.5423976204034378,0.0007869112128200683,0.45639313414913973,0.00042233423460270815,0.45681546838374243
12.857142857142858,0.5420509010533051,0.0003925262903311142,0.4573776775639804,0.00017889509238358306,0.45755657265636396
13.928571428571429,0.5418874347491075,0.00019554131546606183,0.4578413998869709,7.562404845574156e-05,0.45791702393542666
15.0,0.5418116872036849,9.73501389962482e-05,0.45805902442801855,3.193822930034259e-05,0.4580909626573189
15.0,0.7820679388077597,0.00010157032625733143,0.21780885544935982,2.163541662312528e-05,0.21783049086598294
16.0,0.8023282252414954,0.000161288385908463,0.19747496519001384,3.552118258235695e-05,0.1975104863725962
17.0,0.8097696581961515,0.0002665411388929294,0.18990192615508739,6.187450986821923e-05,0.1899638006649556
18.0,0.8128470987750008,0.00044702174302402244,0.18659576897892574,0.00011011050304949536,0.18670587948197523
19.0,0.8140615145991831,0.000754357432030725,0.18498641669013416,0.0001977112786520476,0.1851841279687862
20.0,0.8143287512014893,0.0012762710662154954,0.1840386183362135,0.0003563593960817299,0.1843949777322952
21.0,0.8139533228852905,0.002161049272931893,0.18324241822153628,0.0006432096202411735,0.18388562784177745
22.0,0.8129215265299455,0.0036582793607652783,0.1822591809564666,0.0011610131528224895,0.1834201941092891
23.0,0.8109718986708143,0.006185280422178125,0.18074928127904102,0.002093539627966476,0.1828428209070075
24.0,0.8075540990328474,0.010431855414740114,0.17824747619357,0.0037665693588424323,0.18201404555241243
25.0,0.8017020215845224,0.017515056908089733,0.17403413171129714,0.00674878979609049,0.18078292150738762
26.0,0.7918280717894194,0.029177260120214668,0.1669885362966785,0.012006131793687109,0.17899466809036563
27.0,0.7754803036644337,0.04794911025422174,0.1554705824065728,0.021100003674771203,0.17657058608134402
28.0,0.749247751321427,0.07699986468447051,0.13742323653356187,0.03632914746053971,0.1737523839941016
29.0,0.7093488451603084,0.11900473855826094,0.11116645697677735,0.0604799593046519,0.17164641628142924
30.0,0.6539119284820272,0.17308130325598386,0.07750418582243337,0.09550258243955337,0.17300676826198674
31.0,0.58744320640534,0.23035774994441516,0.04249763215438505,0.13970141149585658,0.18219904365024162
32.0,0.5238375616363327,0.2741629218146626,0.016277011272349238,0.18572250527665102,0.20199951654900025
33.0,0.5352856049866358,0.2423981624155914,0.020597524010506133,0.20171870858726076,0.2223162325977669
34.0,0.542216923385232,0.21021138289745137,0.02629410039344617,0.22127759332386274,0.24757169371730892
35.0,0.5475827069625449,0.17638976734973014,0.03350810740778058,0.24251941827993448,0.27602752568771505
36.0,0.5520260172796244,0.14177696376498822,0.04239885031649478,0.26379816863888,0.30619701895537477
37.0,0.5555949998147446,0.1082470441113623,0.05306841693000138,0.2830895391438762,0.33615795607387755
38.0,0.5583670759947709,0.07806955273666555,0.06554295029321167,0.298020420975333,0.36356337126854466
39.0,0.560661092396497,0.05315927807598714,0.07984330399215134,0.30633632553534207,0.3861796295274934
40.0,0.5629742875980902,0.03438556179223953,0.09614598838123226,0.3064941622284118,0.4026401506096441
41.0,0.5657422736342412,0.021380865501572387,0.1149581474614631,0.2979187134026932,0.4128768608641563
42.0,0.5691210569787096,0.01295845808529266,0.13720177772972708,0.2807187072062366,0.4179204849359637
43.0,0.5729150775622177,0.007742642937124588,0.1641652245870506,0.2551770549135688,0.4193422795006194
44.0,0.5765734928579533,0.004585431209683322,0.19731665006241778,0.22152442586990284,0.4188410759323206
45.0,0.5791366342398009,0.002684284803205604,0.23787378219245506,0.18030529876449133,0.4181790809569464
46.0,0.5791902863931231,0.001533272442409213,0.28585939919784464,0.13341704196657203,0.41927644116441665
47.0,0.5751779010025234,0.0008336140280405744,0.33845908240298866,0.08552940256639355,0.42398848496938224
48.0,0.7557559247613259,0.0009026514166076167,0.1633130721807293,0.08002835164125957,0.24334142382198887
49.0,0.7402454539446419,0.0013263881407207033,0.12817479784716046,0.13025336006735774,0.25842815791451823
50.0,0.697454510186799,0.001844709255160209,0.0901974456184696,0.21050333493939427,0.30070078055786387
51.0,0.5917820632662429,0.0016467294467209185,0.14127120859243797,0.26529999869438137,0.40657120728681934
52.0,0.5746811094821045,0.0010265547789648508,0.17573037221969728,0.24856196351899026,0.4242923357386875
53.0,0.5776185030701163,0.0005982175964050602,0.21087607047502874,0.2109072088581809,0.42178327933320964
54.0,0.5795854427317788,0.0003450609252957516,0.25362092358808014,0.16644857275455088,0.420069496342631
55.0,0.5784516363254855,0.00019360281547064294,0.30341338141112273,0.117941379447605,0.4213547608587277
56.0,0.7409458341485675,0.00020801514822356074,0.14170460642616992,0.11714154427658612,0.258846150702756
57.0,0.7100821510648149,0.0002917005246134409,0.10178643015885339,0.18783971825104112,0.28962614840989453
58.0,0.597239465809479,0.0002691779540354093,0.16357444098554147,0.23891691525010694,0.4024913562356484
59.0,0.5774675192966048,0.0001689122520839388,0.2055095040637238,0.21685406438665258,0.42236356845037637
60.0,0.5794591592830827,9.76015944340282e-05,0.24720483279770247,0.17323840632375587,0.4204432391214583
61.0,0.5788700739562154,5.5022166366112594e-05,0.2961211461769374,0.12495375769937708,0.4210749038763145
62.0,0.5739437120089168,2.9422840055477566e-05,0.348759350164434,0.07726751498543821,0.4260268651498722
63.0,0.759795999792243,3.1860795852405214e-05,0.16927640810492706,0.07089573130530674,0.2401721394102338
64.0,0.7484359589461195,4.7339664502247405e-05,0.13572034163975444,0.11579635974704094,0.2515167013867954
65.0,0.7108153278072195,6.735646445179215e-05,0.09984660616193491,0.18927070956250996,0.2891173157244449
66.0,0.5974430231582774,6.231980124382611e-05,0.16072167076777705,0.24177298626789429,0.40249465703567133
67.0,0.577220749842099,3.91562164927147e-05,0.20200846379549142,0.22073163014054464,0.42274009393603607
68.0,0.5793427798380278,2.264719731399873e-05,0.24296009515688508,0.17767447780187698,0.42063457295876205
69.0,0.579096479138163,1.280690054827005e-05,0.2912634480210224,0.12962726593390286,0.4208907139549253
70.0,0.5746176321818268,6.892402586311997e-06,0.34381918154997804,0.0815562938589274,0.4253754754089054
71.0,0.7580304248920944,7.461619530169249e-06,0.16640435381053195,0.07555775966819,0.24196211347872196
72.0,0.744664141480694,1.1027330674216485e-05,0.13209016090996173,0.12323467026379278,0.2553248311737545
73.0,0.7044893417097523,1.5514544970178076e-05,0.09512805579797329,0.20036708792507335,0.29549514372304664
