Generations no drug,Generations drug,MM number
8,3,37.00839630400148
8,4,33.618926467857676
8,5,31.082452273324048
8,6,29.131286175715683
8,7,27.596614715806638
8,8,26.36659313719743
8,9,25.364531908308887
8,10,24.536403343149807
8,11,23.843266258939742
8,12,23.256490347906354
8,13,22.7546532780222
8,14,22.321472683833413
8,15,21.94439720737214
8,16,21.6136271781764
8,17,21.321422128628207
8,18,21.061602799004667
8,19,20.829188020361666
8,20,20.620126265768555
8,21,20.43109473987822
9,2,43.12412307882584
9,3,38.530119782254026
9,4,35.14142757402679
9,5,32.55726679035949
9,6,30.53852564813605
9,7,28.93032215426809
9,8,27.627589722662844
9,9,26.55679148395677
9,10,25.6651874831902
9,11,24.914167707872117
9,12,24.2749547663205
9,13,23.72575544626818
9,14,23.249828129828124
9,15,22.834144958616502
9,16,22.46844837886652
9,17,22.144575349118707
9,18,21.855965596713208
9,19,21.597299157808568
9,20,21.3642258088918
9,21,21.153160787560864
10,2,44.34190328287969
10,3,39.87697005247237
10,4,36.51720262546782
10,5,33.91309435398801
10,6,31.851137010118155
10,7,30.189827264411385
10,8,28.831172556676318
10,9,27.70532906286045
10,10,26.761399873305486
10,11,25.961597361908172
10,12,25.277405387030043
10,13,24.686989355909155
10,14,24.17341047401432
10,15,23.723371254761165
10,16,23.32631930447144
10,17,22.97379754380406
10,18,22.65896621359539
10,19,22.37624701963606
10,20,22.121055147918984
10,21,21.889595017017378
11,2,45.402231360729395
11,3,41.0754155368417
11,4,37.76350607595128
11,5,35.15997263142654
11,6,33.073875284052875
11,7,31.37614280032542
11,8,29.975754967711804
11,9,28.80678004452771
11,10,27.820479378366226
11,11,26.980205712369024
11,12,26.257989540238327
11,13,25.632197790015578
11,14,25.08589562973493
11,15,24.60568021872546
11,16,24.180837445454557
11,17,23.802723698320055
11,18,23.464306530563945
11,19,23.15981951071494
11,20,22.884500003790354
11,21,22.634387878291143
12,2,46.33314324693908
12,3,42.147417658039124
12,4,38.895853747233936
12,5,36.30798697972995
12,6,34.212606608862174
12,7,32.491977018732115
12,8,31.06172851597905
12,9,29.85985714302134
12,10,28.839933209037607
12,11,27.966641868659934
12,12,27.21275178580918
12,13,26.557005280812113
12,14,25.982622274860873
12,15,25.476222094172428
12,16,25.027035296441504
12,17,24.626319802622913
12,18,24.266923120780856
12,19,23.9429504710797
12,20,23.64951071185566
12,21,23.382519771505198
13,2,47.15655889826886
13,3,43.11114173500697
13,4,39.92788606231283
13,5,37.36669898238662
13,6,35.27355337753019
13,7,33.5409354297167
13,8,32.09069328252128
13,9,30.864642464028723
13,10,29.818702800650573
13,11,28.918994260505457
13,12,28.13914508760822
13,13,27.458393237251013
13,14,26.86022353070624
13,15,26.331374518260706
13,16,25.861104893594
13,17,25.44064505112038
13,18,25.062782144076596
13,19,24.721543214445113
13,20,24.411950552667136
13,21,24.129831382524223
14,2,47.88980989708975
14,3,43.981631415960976
14,4,40.87146224423941
14,5,38.344901766795914
14,6,36.26287664533079
14,7,34.52703177372764
14,8,33.06495587466866
14,9,31.822104061120285
14,10,30.756714398654378
14,11,29.836381316191662
14,12,29.035662628180994
14,13,28.33437121816061
14,14,27.716335013384235
14,15,27.16848394352993
14,16,26.680169210290458
14,17,26.242649746937868
14,18,25.848700902271393
14,19,25.492312903721018
14,20,25.16845685721724
14,21,24.872901257635466
15,2,48.546750980865234
15,3,44.77139183555464
15,4,41.736841688081334
15,5,39.25054571414484
15,6,37.18645462098974
15,7,35.454391459875545
15,8,33.98720283416028
15,9,32.733765973796864
15,10,31.654560772789008
15,11,30.718652830607155
15,12,29.90156225774354
15,13,29.18372534681763
15,14,28.54936635234655
15,15,27.985658921621003
15,16,27.48209539890105
15,17,27.030007171389563
15,18,26.62219643101798
15,19,26.252650484820784
15,20,25.91631856253091
15,21,25.60893575052593
16,2,49.138573580376004
16,3,45.49086773764333
16,4,42.53288646473449
16,5,40.09075036546754
16,6,38.049774967035404
16,7,36.32707514565957
16,8,34.86028909475287
16,9,33.601483204157525
16,10,32.51327585203069
16,11,31.566171842453468
16,12,30.73665986707911
16,13,30.00582513396276
16,14,29.358322328820318
16,15,28.781605459570617
16,16,28.26534396572303
16,17,27.800975299049835
16,18,27.381359080693084
16,19,27.00050699802165
16,20,26.653370516046028
16,21,26.335672439527848
17,2,49.67440789990051
17,3,46.148829442199435
17,4,43.267255708129674
17,5,40.871857702214925
17,6,38.857893275733986
17,7,37.148977538471065
17,8,35.68710247889626
17,9,34.42728865241026
17,10,33.33417511947277
17,11,32.37965555279006
17,12,31.541174931263566
17,13,30.800476152501563
17,14,30.14266383238667
17,15,29.555496711145263
17,16,29.028847105046168
17,17,28.554283816174298
17,18,28.124747649800906
17,19,27.734296448716723
17,20,27.377903516603748
17,21,27.051296954300195
18,2,50.1617685739636
18,3,46.752682581320116
18,4,43.94658051239076
18,5,41.59950229021381
18,6,39.61542878031036
18,7,37.92377366266824
18,8,36.47047856376963
18,9,35.21328970829183
18,10,34.118742983833464
18,11,33.16005923067462
18,12,32.315614968295904
18,13,31.567807354111807
18,14,30.902199519935838
18,15,30.30686980998042
18,16,29.77191111302811
18,17,29.289042110176933
18,18,28.85130292457255
18,19,28.452814680983593
18,20,28.088588374316146
18,21,27.75437169375458
19,2,50.60689360114774
19,3,47.308714329452634
19,4,44.57661625585216
19,5,42.27868553949796
19,6,40.32658065183216
19,7,38.65489435913455
19,8,37.213148905240686
19,9,35.96159923970007
19,10,34.86855337252275
19,11,33.908491629700514
19,12,33.06068901555099
19,13,32.30818494100403
19,14,31.63700154953712
19,15,31.035544319681055
19,16,30.49413810161232
19,17,30.00466451447748
19,18,29.560276578264066
19,19,29.155171956822002
19,20,28.78441189336714
19,21,28.443775406208147
20,2,51.01500255051837
20,3,47.822291506744094
20,4,45.16237245769014
20,5,42.9138479228291
20,6,40.995154852846795
20,7,39.345519686497674
20,8,37.91771145130425
20,9,36.6742901552992
20,10,35.58521435939501
20,11,34.62615347334638
20,12,33.77724297051597
20,13,33.02214658236007
20,14,32.34733993514322
20,15,31.74155775698824
20,16,31.195363235664825
20,17,30.700809682333237
20,18,30.251172798558258
20,19,29.84073689157799
20,20,29.46462335392975
20,21,29.118651911515176
21,2,51.390494068650966
21,3,48.29801925256182
21,4,45.708224360515054
21,5,43.508935462934716
21,6,41.62459543153841
21,7,39.9985839434014
21,8,38.58661543010834
21,9,37.35336654855824
21,10,36.27032973136473
21,11,35.314292964300655
21,12,34.46621134197551
21,13,33.71035105291666
21,14,33.03363152393545
21,15,32.42511460434101
21,16,31.875604417248436
21,17,31.377331281756664
21,18,30.92370034818994
21,19,30.509090063951486
21,20,30.128689593131917
21,21,29.778366899718137
