Generations no drug,Generations drug,MM number
14,14,40.9134150484508
14,15,40.641399181108525
14,16,40.41774650391887
14,17,40.235078729436864
14,18,40.08718981831322
14,19,39.96883623927071
14,20,39.875568080040395
14,21,39.80359479392897
15,2,54.9579286291296
15,3,52.36847738072876
15,4,50.26030941209266
15,5,48.52838511051777
15,6,47.09672135459922
15,7,45.90787945912406
15,8,44.917390443198435
15,9,44.09025993684009
15,10,43.39859820168069
15,11,42.81994023296419
15,12,42.33602169608213
15,13,41.93186993699525
15,14,41.59511860609996
15,15,41.31548479863538
15,16,41.08436554268414
15,17,40.89452374056283
15,18,40.73984037564748
15,19,40.61511987984591
15,20,40.515932242219904
15,21,40.43848599272843
16,2,55.34465375939463
16,3,52.859000102543575
16,4,50.82048370573005
16,5,49.1348158131618
16,6,47.73315786934429
16,7,46.56296598986564
16,8,45.58318530572953
16,9,44.76123174580389
16,10,44.07093162045009
16,11,43.491048704584514
16,12,43.0042009933563
16,13,42.59604922175465
16,14,42.25468025199138
16,15,41.97013260877695
16,16,41.7340283983131
16,17,41.539284460783286
16,18,41.37988376945643
16,19,41.25069289088724
16,20,41.147316827461246
16,21,41.06597895035171
17,2,55.69314556277695
17,3,53.30493747704817
17,4,51.33379994903979
17,5,49.69454668363471
17,6,48.324480906204066
17,7,47.17533097030175
17,8,46.20906543117734
17,9,45.39526543606636
17,10,44.70932103675128
17,11,44.131131463736665
17,12,43.64414243279738
17,13,43.234618329043904
17,14,42.891085354571516
17,15,42.603900262445165
17,16,42.36491337232821
17,17,42.16720261513126
17,18,42.004861826749696
17,19,41.87283113872202
17,20,41.7667611076984
17,21,41.68290049679405
18,2,56.00877419535959
18,3,53.71201606512774
18,4,51.80573385431907
18,5,50.212502739467574
18,6,48.87493395821176
18,7,47.748497927347316
18,8,46.79784715718726
18,9,45.99450811979969
18,10,45.315294251877155
18,11,44.741151149090776
18,12,44.25629711578027
18,13,43.847567707698246
18,14,43.50391090054106
18,15,43.215994216880745
18,16,42.975894792047235
18,17,42.7768545978645
18,18,42.61308406285511
18,19,42.47960396480693
18,20,42.372118114335144
18,21,42.28690852310457
19,2,56.295953006818046
19,3,54.08503435801531
19,4,52.24096439036752
19,5,50.692981493732816
19,6,49.38830721702418
19,7,48.28570259628608
19,8,47.35220709405309
19,9,46.56109820822279
19,10,45.89048403540778
19,11,45.322273062214485
19,12,44.84140231711869
19,13,44.435245058197054
19,14,44.09315165404239
19,15,43.806089516306166
19,16,43.56635873005031
19,17,43.36736531581648
19,18,43.20343902096584
19,19,43.06968576027692
19,20,42.96186785457552
19,21,42.87630626084278
20,2,56.558341753615196
20,3,54.42804039311292
20,4,52.643508264243515
20,5,51.13973917784619
20,6,49.86797999892455
20,7,48.789895577016466
20,8,47.87465398209878
20,9,47.09711063047334
20,10,46.436552176199534
20,11,45.87577214587831
20,12,45.400374939968515
20,13,44.998238465370214
20,14,44.65909437406843
20,15,44.37419838991296
20,16,44.13606722536155
20,17,43.93826900438077
20,18,43.775253241981474
20,19,43.64221370574992
20,20,43.53497505495258
20,21,43.4499020945488
21,2,56.79900040242572
21,3,54.74447097785725
21,4,53.01682866442709
21,5,51.55606693086798
21,6,50.316964575721386
21,7,49.26375761490935
21,8,48.36751828098698
21,9,47.60452606677715
21,10,46.95514106123333
21,11,46.40297032139361
21,12,45.93423743243354
21,13,45.537292436751194
21,14,45.202227705466335
21,15,44.92057401033626
21,16,44.68505754148709
21,17,44.48940491894127
21,18,44.328184880593135
21,19,44.19667970499073
21,20,44.0907792031607
21,21,44.00689419906831
