"bMMd,MMr",Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,period H,period A,MM fraction
1.5,(-2.599088448751189+0j),(2.24951684671286+0j),(0.3747858010191638+0.13512142940331995j),(0.3747858010191638-0.13512142940331995j),4,6,0.28525219286734427
1.6,(-2.634432509459561+0j),(2.2928271787067898+0j),(0.3708026653763869+0.12704399162180294j),(0.3708026653763869-0.12704399162180294j),4,6,0.28553781627433755
1.7,(-2.6693614878631338+0j),(2.3352310854341187+0j),(0.36706520121450736+0.11888797069083107j),(0.36706520121450736-0.11888797069083107j),3,5,0.28411428638223857
1.8,(-2.7038881159489248+0j),(2.376786350737424+0j),(0.3635508826057503+0.11059563533068296j),(0.3635508826057503-0.11059563533068296j),4,6,0.2847137413049087
1.9,(-2.738024574333001+0j),(2.4175447360804503+0j),(0.3602399191262746+0.1020948560553121j),(0.3602399191262746-0.1020948560553121j),4,6,0.28558624370164376
2.0,(-2.7717825174023933+0j),(2.457552830707683+0j),(0.3571148433473549+0.09329057341153932j),(0.3571148433473549-0.09329057341153932j),4,6,0.28559589510025113
2.1,(-2.8051730980188285+0j),(2.496852753286295+0j),(0.3541601723662665+0.08404949976921758j),(0.3541601723662665-0.08404949976921758j),3,5,0.28421448824064716
2.2,(-2.8382069915829407+0j),(2.5354827355065357+0j),(0.35136212803820177+0.07416980234928068j),(0.35136212803820177-0.07416980234928068j),3,5,0.2821648371961294
