"bOC,MMd",Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,period H,period A,MM fraction
0.6,(-2.6872396525882283+0j),(2.385575867980436+0j),(0.35083189230389766+0.09590413350890681j),(0.35083189230389766-0.09590413350890681j),3,4,0.2854496290602532
0.7,(-2.738024574333001+0j),(2.4175447360804503+0j),(0.3602399191262746+0.1020948560553121j),(0.3602399191262746-0.1020948560553121j),4,6,0.28558624370164376
0.8,(-2.7875862444598223+0j),(2.4494401352056148+0j),(0.3690730546271045+0.10682669507498453j),(0.3690730546271045-0.10682669507498453j),5,9,0.28440375534785267
0.9,(-2.8360117357288783+0j),(2.4812499120050973+0j),(0.37738091186188927+0.11044545326229474j),(0.37738091186188927-0.11044545326229474j),4,10,0.2834192966298597
1.0,(-2.8833781366430964+0j),(2.512963181878166+0j),(0.3852074773824661+0.11318797111309818j),(0.3852074773824661-0.11318797111309818j),4,15,0.2823327269884194
1.1,(-2.9297540927391252+0j),(2.5445702369365044+0j),(0.3925919279013097+0.11522495027393552j),(0.3925919279013097-0.11522495027393552j),2,17,0.28020264456117666
1.2,(-2.975201053996512+0j),(2.576062456535734+0j),(0.3995692987303888+0.11668406200218868j),(0.3995692987303888-0.11668406200218868j),2,21,0.29326191615391806
