Generations no drug,Generations drug,MM fraction
13,13,0.29852055084184753
13,14,0.3861658384875439
13,15,0.38678537928368667
13,16,0.3877980024328041
13,17,0.38780473643244023
13,18,0.38780475669014164
13,19,0.3878047552294504
13,20,0.3878047563523528
13,21,0.3878047564871487
14,2,0.39789828291402163
14,3,0.3841398609991542
14,4,0.3721614112796994
14,5,0.36144901420786946
14,6,0.35176994504262765
14,7,0.34297132794381885
14,8,0.3349367618598411
14,9,0.3275719154416373
14,10,0.32079804702363407
14,11,0.31454723472013013
14,12,0.30875734078279043
14,13,0.30333169771864105
14,14,0.3016612131552395
14,15,0.3827335957307472
14,16,0.38778006273524596
14,17,0.38780469473108786
14,18,0.3878047493739293
14,19,0.3878047556448234
14,20,0.38780475653022517
14,21,0.3878047572079935
15,2,0.3999539208675912
15,3,0.38683719758391344
15,4,0.37534313678664466
15,5,0.3650052324453755
15,6,0.35561669151712866
15,7,0.34704262834178906
15,8,0.339180104100689
15,9,0.3319451783391962
15,10,0.32526721852443835
15,11,0.31908575143991424
15,12,0.31334737329158036
15,13,0.3080339249001091
15,14,0.3035743170244744
15,15,0.3565412173247203
15,16,0.38771360197716903
15,17,0.38780388366634455
15,18,0.3878047477928206
15,19,0.38780475578239765
15,20,0.3878047567837217
15,21,0.3878047575190503
16,2,0.40178841275735433
16,3,0.389258479079759
16,4,0.37821465616318695
16,5,0.3682305930153066
16,6,0.3591213312640657
16,7,0.35076723325545617
16,8,0.34307689251083945
16,9,0.33597537118386483
16,10,0.3293992168843954
16,11,0.323293784841353
16,12,0.3176121073086393
16,13,0.3123158154323939
16,14,0.30743944036042914
16,15,0.3137022123205907
16,16,0.38697949793328473
16,17,0.3878022320081101
16,18,0.38780474361915707
16,19,0.38780475598469544
16,20,0.38780475635510564
16,21,0.3876468888957912
17,2,0.4034354703497593
17,3,0.3914438013325963
17,4,0.38081895324774157
17,5,0.37116890114654805
17,6,0.3623272113255324
17,7,0.3541872464751128
17,8,0.3466675240618758
17,9,0.3397009370517745
17,10,0.33323031288249366
17,11,0.3272061327485329
17,12,0.32158514218532447
17,13,0.31632994114454743
17,14,0.3114192228960132
17,15,0.30627670282501984
17,16,0.3848588276921315
17,17,0.3877968867604954
17,18,0.38780473348008554
17,19,0.3878047563091123
17,20,0.38723489600610544
17,21,0.38761966198114267
18,2,0.4049223158566388
18,3,0.39342589839106124
18,4,0.3831914768820448
18,5,0.3738566206714759
18,6,0.3652707240441937
18,7,0.357338296472597
18,8,0.3499864335949287
18,9,0.34315485935928514
18,10,0.3367919309138152
18,11,0.33085263836995366
18,12,0.3252974055031716
18,13,0.3200913694219216
18,14,0.31505438012772546
18,15,0.3092467700858575
18,16,0.3751693270354479
18,17,0.38777912300170364
18,18,0.38780470691999314
18,19,0.3853855472820301
18,20,0.38712675880707126
18,21,0.3875872456297063
19,2,0.40627116437055816
19,3,0.3952317475500754
19,4,0.38536170945726334
19,5,0.37632433442212476
19,6,0.3679826306230117
