Generation,xOC,xOB,xMM,W_average
0,0.2,0.2,0.6,-0.76952
1,0.24030400000000002,0.12398400000000001,0.6357119999999999,-0.731948337415168
2,0.26306256162237457,0.0757428355011542,0.6611946028764711,-0.7133875905907437
3,0.27180147623529505,0.046000582848153296,0.6821979409165515,-0.7045907908727104
4,0.2717641522061608,0.027685789546792332,0.7005500582470466,-0.7005076388607865
5,0.26703717147992534,0.01643917296837156,0.7165236555517027,-0.6988512918249712
6,0.2602421742247647,0.009607309734793595,0.730150516040441,-0.6985431760587579
7,0.2528963850851953,0.005524670218320414,0.7415789446964831,-0.6989981638818106
8,0.2457983998569124,0.0031293050214709715,0.7510722951216146,-0.699860083081842
9,0.23931565355993017,0.0017488028084723466,0.758935543631594,-0.7009042956952071
10,0.2335744227935427,0.0009659657576460197,0.7654596114488054,-0.7019928982482686
11,0.22857630418906114,0.0005282582760613129,0.7708954375348673,-0.7030466182125841
12,0.2242652395840562,0.0002864490419860636,0.7754483113739404,-0.7040244684451721
13,0.22056379237768461,0.00015421452485532002,0.7792819930974305,-0.7049091271328161
14,0.21739146665625006,8.251890143806583e-05,0.7825260144422616,-0.7056970025074877
15,0.2146730924788918,4.3926767212243584e-05,0.7852829807538102,-0.7063918768991305
16,0.21234199834426837,2.328015593744384e-05,0.7876347214996479,-0.7070010606303763
17,0.2103406119312755,1.2291451128231784e-05,0.7896470966173466,-0.7075331850229879
18,0.20861990258648883,6.46869527784755e-06,0.791373628717807,-0.7079970073659045
19,0.20713838832641068,3.3948891148605355e-06,0.7928582167837465,-0.7084008123719518
20,0.20586105638319213,1.7774552600930057e-06,0.794137166160304,-0.708752150741117
21,0.20475835138495802,9.287087730063463e-07,0.7952407199041437,-0.7090577599693975
22,0.20380528769602602,4.843850380233105e-07,0.7961942279153037,-0.7093235782452256
23,0.20298069627728318,2.522533822271323e-07,0.7970190514631259,-0.7095548017678034
24,0.20226659653289916,1.3119227031338758e-07,0.7977332722642164,-0.7097559587631079
25,0.20164767661853455,6.815248329879145e-08,0.7983522552108346,-0.7099309864289409
26,0.201110864674229,3.536908119002222e-08,0.7988890999256588,-0.7100833041684517
27,0.20064497493355757,1.8339683387168916e-08,0.7993550066736934,-0.7102158802863232
28,0.2002404149713509,9.50244425466368e-09,0.7997595754354512,-0.7103312912940526
29,0.1998889427253541,4.920361800583538e-09,0.8001110521990652,-0.7104317739395929
30,0.19958346405679,2.546325783414406e-09,0.8004165331313928,-0.7105192705112257
31,0.19931786341004307,1.317098258607252e-09,0.8006821348187304,-0.7105954681235863
32,0.1990868615965336,6.809848498233272e-10,0.8009131369456518,-0.7106618327143915
33,0.19888589590251018,3.519620964995724e-10,0.8011141024166347,-0.7107196384372688
34,0.198711018654241,1.8185047327658633e-10,0.8012889788905452,-0.7107699930671004
35,0.19855881111369036,9.393149599433004e-11,0.8014411849031763,-0.7108138599582242
36,0.1984263101632731,4.850674059312674e-11,0.8015736831345197,-0.7108520770210603
37,0.19831094570219512,2.504382840982566e-11,0.8016890428892638,-0.7108853731120512
38,0.19821048704467722,1.2927634016786684e-11,0.8017894934665362,-0.7109143821646657
39,0.19812299690132215,6.6721754337711746e-12,0.8018769697704783,-0.7109396553226165
40,0.19804679175288556,3.443142285074543e-12,0.8019531512325487,-0.710961671264747
41,0.19798040759956953,1.7765991091589153e-12,0.8020194948548083,-0.7109808448248932
42,0.1979225701921946,9.165954499694369e-13,0.8020772629112374,-0.7109975338939127
43,0.19787216892131174,4.728524892117333e-13,0.8021275455201674,-0.7110120444191907
44,0.19782823354459972,2.439150206610074e-13,0.8021712778618968,-0.7110246330456537
45,0.197789912846039,1.2581162308905592e-13,0.8022092511587325,-0.7110355064976612
46,0.19775645409418838,6.488976394163869e-14,0.8022421154884428,-0.7110448160569544
47,0.19772718171573692,3.346633301564403e-14,0.802270370776117,-0.7110526442327066
48,0.1977014727751991,1.7259147081259277e-14,0.8022943394095557,-0.7110589785774762
49,0.19767872539497033,8.900451138227104e-15,0.8023141090061744,-0.7110636639477776
