Generation,xOC,xOB,xMM
0.0,0.4,0.3,0.3
0.40404040404040403,0.4234739573736726,0.26670051229194847,0.3098255303343789
0.8080808080808081,0.44204448796102813,0.23643521519440194,0.3215202968445699
1.2121212121212122,0.4565124190960752,0.20892189073520145,0.33456569016872323
1.6161616161616161,0.4676414710631929,0.18391636339143871,0.3484421655453682
2.0202020202020203,0.4761076834131369,0.16122853496402306,0.3626637816228398
2.4242424242424243,0.4824840396298248,0.14071317040258435,0.37680278996759076
2.8282828282828283,0.4872425103947788,0.12225223112339442,0.3905052584818266
3.2323232323232323,0.4907636594804914,0.10573809686620726,0.40349824365330106
3.6363636363636362,0.4933490266179945,0.09106164038588802,0.41558933299611717
4.040404040404041,0.4952338809641837,0.07810595481972171,0.42666016421609426
4.444444444444445,0.49659924831409613,0.06674485277996514,0.4366558989059384
4.848484848484849,0.49758265171299115,0.05684463776138478,0.4455727105256237
5.252525252525253,0.4982873605975821,0.048267622310995795,0.4534450170914217
5.656565656565657,0.4987901102394462,0.04087614742683677,0.4603337423337166
6.0606060606060606,0.49914738965226535,0.0345363409291255,0.4663162694186087
6.4646464646464645,0.49940043880369134,0.02912114547664223,0.47147841571966603
6.8686868686868685,0.49957914821650123,0.024512472417906918,0.4759083793655914
7.2727272727272725,0.49970504545115635,0.02060250226649007,0.47969245228235313
7.6767676767676765,0.49979355079762766,0.017294253517560698,0.48291219568481114
8.080808080808081,0.4998556587860661,0.014501581599991268,0.4856427596139421
8.484848484848484,0.49989917590411037,0.012148765434219944,0.4879520586616692
8.88888888888889,0.49992962847908157,0.010169829549637863,0.4899005419712801
9.292929292929292,0.49995091568172145,0.008507707546677463,0.4915413767716006
9.696969696969697,0.4999657824754308,0.007113340087951085,0.4929208774366176
10.1010101010101,0.49997615752724844,0.005944765616992023,0.49407907685575897
10.505050505050505,0.4999833937682167,0.0049662463829238624,0.49505035984885887
10.909090909090908,0.49998843673841614,0.004147451243459847,0.4958641120181235
11.313131313131313,0.49999194936815194,0.0034627143461687785,0.4965453362856787
11.717171717171716,0.499994396668318,0.0028903710035247067,0.49711523232815674
12.121212121212121,0.49999610210333656,0.0024121714646006278,0.49759172643206223
12.525252525252524,0.49999728856536246,0.002012768934319692,0.49798994250031725
