Generation,xOC,xOB,xMM,W_average
0,0.5,0.45,0.05,-0.538005
1,0.5907525,0.34609725,0.06315025,-0.4964613837432526
2,0.6316146739337046,0.2783548874255318,0.0900304386407636,-0.4459776374304931
3,0.6506874143837577,0.21722796992177199,0.13208461569447047,-0.3631498288320353
4,0.6596815904815081,0.1518077068167467,0.18851070270174536,-0.24676857018570786
5,0.6626696888699785,0.08641273523289039,0.2509175758971314,-0.11457706532235998
6,0.6615386332777294,0.03595918570556669,0.3025021810167041,-0.004572330239410012
7,0.6590844049971162,0.010270348904839341,0.3306452460980447,0.05459175311057057
8,0.6577878204866063,0.0021937496930566815,0.3400184298203372,0.07389300749670583
9,0.6574814861370862,0.00041591095198610694,0.3421026029109278,0.07816452161247082
10,0.6574209067036291,7.663326986079739e-05,0.3425024600265103,0.07898222118091672
11,0.6574099224060146,1.4041564994831488e-05,0.3425760360289907,0.07913281691312543
12,0.6574078591041922,2.5702013580974923e-06,0.3425895706944498,0.07916048198851927
13,0.6574074919527266,4.7036672513971266e-07,0.3425920376805483,0.07916553237734303
14,0.6574074224729377,8.607777868569326e-08,0.3425924914492837,0.07916645961841938
15,0.6574074102522762,1.5752255779802056e-08,0.34259257399546816,0.07916662866254992
16,0.6574074079090206,2.8826635574199734e-09,0.342592589208316,0.07916665973660905
17,0.6574074075033102,5.2752745597393e-10,0.3425925919691626,0.0791666653931268
18,0.6574074074240697,9.6537525284904e-11,0.342592592479393,0.07916666643476365
19,0.6574074074106487,1.7666367155103246e-11,0.3425925925716851,0.07916666662397909
20,0.6574074074079591,3.232945190329183e-12,0.34259259258880814,0.07916666665890916
21,0.6574074074075175,5.916289698615506e-13,0.3425925925918911,0.07916666666523553
22,0.6574074074074256,1.0826810148572595e-13,0.34259259259246627,0.07916666666640744
23,0.6574074074074112,1.9813062571922854e-14,0.34259259259256913,0.07916666666661895
24,0.6574074074074081,3.625790450663074e-15,0.34259259259258845,0.07916666666665828
25,0.6574074074074076,6.635196524713808e-16,0.3425925925925919,0.07916666666666534
26,0.6574074074074076,1.2142409640226382e-16,0.3425925925925925,0.07916666666666668
27,0.6574074074074076,2.22206096416143e-17,0.3425925925925926,0.0791666666666669
28,0.6574074074074076,4.0663715644154166e-18,0.34259259259259267,0.07916666666666707
29,0.6574074074074076,7.4414599628802005e-19,0.34259259259259267,0.07916666666666707
30,0.6574074074074076,1.3617871732070743e-19,0.34259259259259267,0.07916666666666707
31,0.6574074074074076,2.492070526968943e-20,0.34259259259259267,0.07916666666666707
32,0.6574074074074076,4.560489064353159e-21,0.34259259259259267,0.07916666666666707
33,0.6574074074074076,8.345694987766272e-22,0.34259259259259267,0.07916666666666707
34,0.6574074074074076,1.5272621827612258e-22,0.34259259259259267,0.07916666666666707
35,0.6574074074074076,2.794889794453039e-23,0.34259259259259267,0.07916666666666707
36,0.6574074074074076,5.114648323849052e-24,0.34259259259259267,0.07916666666666707
37,0.6574074074074076,9.359806432643748e-25,0.34259259259259267,0.07916666666666707
38,0.6574074074074076,1.7128445771738036e-25,0.34259259259259267,0.07916666666666707
39,0.6574074074074076,3.134505576228057e-26,0.34259259259259267,0.07916666666666707
40,0.6574074074074076,5.7361452044973356e-27,0.34259259259259267,0.07916666666666707
41,0.6574074074074076,1.0497145724230106e-27,0.34259259259259267,0.07916666666666707
42,0.6574074074074076,1.9209776675341073e-28,0.34259259259259267,0.07916666666666707
43,0.6574074074074076,3.5153891315874113e-29,0.34259259259259267,0.07916666666666707
44,0.6574074074074076,6.43316211080495e-30,0.34259259259259267,0.07916666666666707
45,0.6574074074074076,1.1772686662773041e-30,0.34259259259259267,0.07916666666666707
46,0.6574074074074076,2.1544016592874626e-31,0.34259259259259267,0.07916666666666707
47,0.6574074074074076,3.942555036496051e-32,0.34259259259259267,0.07916666666666707
48,0.6574074074074076,7.214875716787763e-33,0.34259259259259267,0.07916666666666707
49,0.6574074074074076,1.3203222561721588e-33,0.34259259259259267,0.07916666666666707
