Strength WMMd IH,Strength MMd GF IH,MM number
0.2,0.1,28.061227602721637
0.2,0.12,27.726917582750257
0.2,0.14,27.396703623231705
0.2,0.16,27.11919605869803
0.2,0.18,26.939045601876884
0.2,0.2,26.79739058324352
0.2,0.22,26.639309142134206
0.2,0.24,26.560938091121
0.2,0.26,26.458985038657303
0.2,0.28,26.427845442075025
0.2,0.3,26.3674263594892
0.2,0.32,26.323516239507583
0.2,0.34,26.340096776822357
0.2,0.36,26.36738605518128
0.2,0.38,26.35733741084323
0.2,0.4,26.354889565336045
0.22,0.0,30.47347613021568
0.22,0.02,29.77719166497035
0.22,0.04,29.187342903834843
0.22,0.06,28.631640346313652
0.22,0.08,28.160658880957932
0.22,0.1,27.81880268716961
0.22,0.12,27.53895064152315
0.22,0.14,27.260432021338012
0.22,0.16,27.031527973916774
0.22,0.18,26.896927139263987
0.22,0.2,26.79855004489339
0.22,0.22,26.681867203730143
0.22,0.24,26.642799508818914
0.22,0.26,26.578493349255098
0.22,0.28,26.58333452719627
0.22,0.3,26.557378378706606
0.22,0.32,26.546473967684893
0.22,0.34,26.5948345130549
0.22,0.36,26.652677248269185
0.22,0.38,26.67179423909256
0.22,0.4,26.697320234056093
0.24,0.0,29.972158869826583
0.24,0.02,29.35094470934255
0.24,0.04,28.770445484497294
0.24,0.06,28.33881145034993
0.24,0.08,27.927582219717003
0.24,0.1,27.64073354130012
0.24,0.12,27.359030541337212
0.24,0.14,27.183234813916613
0.24,0.16,27.000771401446723
0.24,0.18,26.90994733038856
0.24,0.2,26.803108712184212
0.24,0.22,26.776672726602712
0.24,0.24,26.726722562597057
0.24,0.26,26.74818837257243
0.24,0.28,26.74008394169843
0.24,0.3,26.79612414182744
0.24,0.32,26.81771112406195
0.24,0.34,26.897513995042104
0.24,0.36,26.938964591829713
0.24,0.38,27.033778188364348
0.24,0.4,27.08718501311896
0.26,0.0,29.547659071897183
0.26,0.02,28.996474593507145
0.26,0.04,28.481469966125474
0.26,0.06,28.109582596732487
0.26,0.08,27.754788185216803
0.26,0.1,27.52019467731583
0.26,0.12,27.28821433982591
0.26,0.14,27.15905044807476
0.26,0.16,27.021190767807635
0.26,0.18,26.972649677609382
0.26,0.2,26.906389220565217
0.26,0.22,26.918762256547197
0.26,0.24,26.90611857595588
0.26,0.26,26.963516866404
0.26,0.28,26.989962072986163
0.26,0.3,27.079460503537767
0.26,0.32,27.133186429730337
0.26,0.34,27.244237478682134
0.26,0.36,27.315643608837455
0.26,0.38,27.43966370068392
0.26,0.4,27.52098842868218
0.28,0.0,29.191497408858076
0.28,0.02,28.705986880237802
0.28,0.04,28.252609342676184
0.28,0.06,27.93726408228303
0.28,0.08,27.636037582404512
0.28,0.1,27.451326792295916
0.28,0.12,27.266941506421382
0.28,0.14,27.182665512216243
0.28,0.16,27.08784821945772
0.28,0.18,27.08033499739264
0.28,0.2,27.05353969366223
0.28,0.22,27.103857637300468
0.28,0.24,27.12776902291156
0.28,0.26,27.22055416030213
0.28,0.28,27.281093983177925
0.28,0.3,27.403767053407684
0.28,0.32,27.489421204532235
0.28,0.34,27.631652860089265
0.28,0.36,27.733004758863515
0.28,0.38,27.886340495728547
0.28,0.4,27.995737239884022
0.3,0.0,28.896413439549264
0.3,0.02,28.47279272259386
0.3,0.04,28.07768132247443
0.3,0.06,27.81609533505106
0.3,0.08,27.565950231395863
0.3,0.1,27.429072250089554
0.3,0.12,27.290450361355685
0.3,0.14,27.24957020120931
0.3,0.16,27.19647092121552
0.3,0.18,27.22893430978523
0.3,0.2,27.240684922726135
0.3,0.22,27.328252485656222
0.3,0.24,27.38813078012987
0.3,0.26,27.515900841509975
0.3,0.28,27.61022137561782
0.3,0.3,27.765911065029595
0.3,0.32,27.883408047622506
0.3,0.34,28.05686516066257
0.3,0.36,28.18826728751927
0.3,0.38,28.37113090400076
0.3,0.4,28.508859173188753
0.32,0.0,28.656151947194036
0.32,0.02,28.291118057378824
0.32,0.04,27.951340497469957
0.32,0.06,27.74108838703045
0.32,0.08,27.539862493904465
0.32,0.1,27.449042106777597
0.32,0.12,27.354604052636446
0.32,0.14,27.355845190554973
0.32,0.16,27.343342416842503
