Generation,nOC,nOB,nMMd,nMMr,total nMM
0.0,410.0,490.0,400.0,0.0,400.0
1.0344827586206897,186.84364618779628,454.65554343547797,497.17448709247634,0.06703635832320856,497.24152345079955
2.0689655172413794,122.60968491522047,420.1501763136928,530.9342477150293,0.15127587101600273,531.0855235860453
3.1034482758620694,113.10967990937033,388.0062802739974,543.873661192137,0.24201318394012922,544.1156743760771
4.137931034482759,121.90887818195884,358.27327388328496,556.5810446223522,0.34163425744983084,556.9226788798021
5.172413793103448,136.8918287555422,330.82704120418794,575.8537886103056,0.4533551969685829,576.3071438072742
6.206896551724139,154.2918408882383,305.5065388319528,603.3985433314563,0.5792814324182777,603.9778247638745
7.241379310344828,173.06279576644656,282.1506670109085,639.5441514513022,0.7206486471715601,640.2648000984738
8.275862068965518,192.99084844110044,260.60754450506647,684.3885815327469,0.8781417568455766,685.2667232895925
9.310344827586208,214.08319664539553,240.73626563961315,738.0856324078376,1.0520689016766862,739.1377013095142
10.344827586206897,236.37885925345194,222.40670115282236,800.8843948372657,1.2424497822874034,802.1268446195531
11.379310344827587,259.8949821778233,205.49882836573164,873.106149852119,1.4490686954521166,874.555218547571
12.413793103448278,284.6150212026679,189.90198366425327,955.1100217544648,1.67151582980531,956.7815375842702
13.448275862068966,310.4890506019222,175.51413969831492,1047.2601765551085,1.9092252789393176,1049.169401834048
14.482758620689657,337.43718271484147,162.2412299149375,1149.8968410916632,2.1615116700189043,1152.058352761682
15.517241379310345,365.35357717389394,149.99652462132218,1263.3111149388026,2.4276047029450494,1265.7387196417476
16.551724137931036,394.1104393824782,138.70005540640196,1387.723178893817,2.7066803691523607,1390.4298592629693
17.586206896551726,423.56191379174726,128.27808590764545,1523.2637440996973,2.9978875952940034,1526.2616316949914
18.620689655172416,453.54786993491626,118.66262398368724,1669.958656663865,3.300369620799556,1673.2590262846645
19.655172413793103,483.8975482659275,109.79097266764876,1827.7167479784705,3.6132797594594006,1831.3300277379299
20.689655172413794,514.4330384292488,101.60531666579642,1996.320989478893,3.9357916479287187,2000.2567811268216
21.724137931034484,544.9725481856118,94.05234167510605,2175.4229843282906,4.267104408575703,2179.690088736866
22.758620689655174,575.3334053626445,87.08288357047843,2364.540763489195,4.606443422175857,2369.1472069113706
23.793103448275865,605.3347700923734,80.65160523675438,2563.0597701326046,4.953057517315686,2568.0128276499204
24.827586206896555,634.8000351754778,74.7166986389995,2770.2368480082673,5.306213459255502,2775.543061467523
25.862068965517242,663.5589092520263,69.23961030426607,2985.2069757590552,5.665188620008436,2990.8721643790636
26.896551724137932,691.4491907380477,64.1847882281412,3206.992438909402,6.029262655047757,3213.02170156445
27.931034482758623,718.3182514518269,59.519448520570705,3434.5140948978737,6.397708921480975,3440.9118038193546
28.965517241379313,744.0242518773607,55.21335976521272,3666.604408694144,6.769786248852451,3673.3741949429964
30.0,768.437115786727,51.238645849410794,3902.021714150412,7.144731644755715,3909.166445795168
30.0,791.3722874733612,47.548137907914715,1399.2915127293882,7.586353172078533,1406.8778659014667
31.0,502.94940836230046,44.294984394902926,755.0852403894655,8.212703927974438,763.2979443174399
32.0,363.4775973243763,41.316184608304184,419.7946663185464,8.853199243607529,428.6478655621539
33.0,270.93696261083244,38.608314842384615,253.24213328408038,9.644667891035533,262.8868011751159
34.0,211.4050879113206,36.14008245759137,162.89121266208997,10.607746956704888,173.49895961879486
35.0,171.60057707711957,33.887815209089865,111.36055890044435,11.777937854275597,123.13849675471994
36.0,144.56484639533136,31.82871354448809,80.49692681781993,13.184756458125829,93.68168327594576
37.0,125.9890885455386,29.942265566019575,61.25680463202055,14.859371048593106,76.11617568061365
38.0,113.23940773532239,28.2099166368957,48.86459570618674,16.833209093945715,65.69780480013246
39.0,104.64570369074893,26.6150839265411,40.69163825382062,19.137737127600364,59.82937538142099
40.0,99.12972188107321,25.143049042408798,35.23211925781431,21.803325368373084,57.0354446261874
41.0,95.98113457168984,23.78084316417971,31.59354488215548,24.85801792026211,56.45156280241759
42.0,94.72445363500374,22.51710606232428,29.231022214933727,28.326172208891418,57.557194423825145
43.0,95.03648542369093,21.34193360818396,27.80361334551105,32.22714409241589,60.03075743792694
44.0,96.6939650144019,20.24671987607736,27.09380655420159,36.57412100652046,63.66792756072205
45.0,99.53929629904226,19.22400091096967,26.960828379709515,41.37320853295387,68.33403691266338
46.0,103.45750975033495,18.26730530210379,27.31265262660242,46.622845260208194,73.93549788681062
47.0,108.36034285572717,17.37101534587607,28.088639336449916,52.313590335644086,80.402229672094
48.0,114.17500589199494,16.53024114264052,29.248377785945323,58.428292202631326,87.67666998857665
49.0,120.83616275747447,15.740708778133712,30.764247499128555,64.94261333951275,95.7068608386413
50.0,128.28023487441487,14.998662782403757,32.61627478724191,71.82585771591368,104.44213250315559
51.0,136.44147823033546,14.300782358529887,34.78846208153197,79.04202827441709,113.83049035594905
52.0,145.2494818997912,13.644110403595398,37.266113146357725,86.55103208016251,123.81714522652024
53.0,154.62784502545057,13.025994069122145,40.033879289069084,94.30995040616749,134.34382969523656
54.0,164.49384272819742,12.444035484815636,43.07436913538089,102.2742982598902,145.3486673952711
55.0,174.75891247186664,11.896051257157147,46.367230405472206,110.39921038844194,156.76644079391414
56.0,185.32979664683685,11.380039417309781,49.88864568024834,118.64050617336329,168.52915185361164
57.0,196.11017532322404,10.894152601924459,53.61119742777752,126.95560185354398,180.5667992813215
58.0,207.00262239078182,10.436676383563647,57.50405868124438,135.30425350633428,192.80831218757865
59.0,217.91072285380878,10.006011808665608,61.5334605480844,143.64912706027573,205.18258760836014
60.0,228.7412007097151,9.600661339512424,65.66338047410088,151.95620174118093,217.6195822152818
61.0,239.40592557685636,9.219217525880168,69.85638895207717,160.19502064280863,230.0514095948858
62.0,249.82369070320647,8.860353848304795,74.07458913025276,168.33880675524932,242.4133958855021
