Generation,nOC,nOB,nMMd,nMMr,total nMM
0.0,410.0,490.0,400.0,0.0,400.0
1.0344827586206897,186.84364618779628,454.65554343547797,497.17448709247634,0.06703635832320856,497.24152345079955
2.0689655172413794,122.60968491522047,420.1501763136928,530.9342477150293,0.15127587101600273,531.0855235860453
3.1034482758620694,113.10967990937033,388.0062802739974,543.873661192137,0.24201318394012922,544.1156743760771
4.137931034482759,121.90887818195884,358.27327388328496,556.5810446223522,0.34163425744983084,556.9226788798021
5.172413793103448,136.8918287555422,330.82704120418794,575.8537886103056,0.4533551969685829,576.3071438072742
6.206896551724139,154.2918408882383,305.5065388319528,603.3985433314563,0.5792814324182777,603.9778247638745
7.241379310344828,173.06279576644656,282.1506670109085,639.5441514513022,0.7206486471715601,640.2648000984738
8.275862068965518,192.99084844110044,260.60754450506647,684.3885815327469,0.8781417568455766,685.2667232895925
9.310344827586208,214.08319664539553,240.73626563961315,738.0856324078376,1.0520689016766862,739.1377013095142
10.344827586206897,236.37885925345194,222.40670115282236,800.8843948372657,1.2424497822874034,802.1268446195531
11.379310344827587,259.8949821778233,205.49882836573164,873.106149852119,1.4490686954521166,874.555218547571
12.413793103448278,284.6150212026679,189.90198366425327,955.1100217544648,1.67151582980531,956.7815375842702
13.448275862068966,310.4890506019222,175.51413969831492,1047.2601765551085,1.9092252789393176,1049.169401834048
14.482758620689657,337.43718271484147,162.2412299149375,1149.8968410916632,2.1615116700189043,1152.058352761682
15.517241379310345,365.35357717389394,149.99652462132218,1263.3111149388026,2.4276047029450494,1265.7387196417476
16.551724137931036,394.1104393824782,138.70005540640196,1387.723178893817,2.7066803691523607,1390.4298592629693
17.586206896551726,423.56191379174726,128.27808590764545,1523.2637440996973,2.9978875952940034,1526.2616316949914
18.620689655172416,453.54786993491626,118.66262398368724,1669.958656663865,3.300369620799556,1673.2590262846645
19.655172413793103,483.8975482659275,109.79097266764876,1827.7167479784705,3.6132797594594006,1831.3300277379299
20.689655172413794,514.4330384292488,101.60531666579642,1996.320989478893,3.9357916479287187,2000.2567811268216
21.724137931034484,544.9725481856118,94.05234167510605,2175.4229843282906,4.267104408575703,2179.690088736866
22.758620689655174,575.3334053626445,87.08288357047843,2364.540763489195,4.606443422175857,2369.1472069113706
23.793103448275865,605.3347700923734,80.65160523675438,2563.0597701326046,4.953057517315686,2568.0128276499204
24.827586206896555,634.8000351754778,74.7166986389995,2770.2368480082673,5.306213459255502,2775.543061467523
25.862068965517242,663.5589092520263,69.23961030426607,2985.2069757590552,5.665188620008436,2990.8721643790636
26.896551724137932,691.4491907380477,64.1847882281412,3206.992438909402,6.029262655047757,3213.02170156445
27.931034482758623,718.3182514518269,59.519448520570705,3434.5140948978737,6.397708921480975,3440.9118038193546
28.965517241379313,744.0242518773607,55.21335976521272,3666.604408694144,6.769786248852451,3673.3741949429964
30.0,768.437115786727,51.238645849410794,3902.021714150412,7.144731644755715,3909.166445795168
30.0,791.3722874733612,47.548137907914715,1750.4734670029252,7.586353172078533,1758.0598201750038
31.0,554.2203191610188,44.25920587948023,1020.6002732851696,8.12593347656973,1028.7262067617394
32.0,418.53620012783784,41.251395884759596,618.1751493757362,8.669465727086534,626.8446151028227
33.0,324.41215073141166,38.5097158209951,396.4514683715392,9.30196626042533,405.7534346319645
34.0,259.62020053939574,36.00767514727411,267.0896587837049,10.048718673161545,277.13837745686646
35.0,214.03204313432855,33.72252095583285,188.45270131344495,10.933757542983573,199.38645885642853
36.0,181.50036192359687,31.633041027689856,138.8243163114171,11.97705572370742,150.80137203512453
37.0,158.03219549063186,29.719844924291543,106.46881603750253,13.197756748189232,119.66657278569177
38.0,141.01555039559258,27.965257485639885,84.77872035027383,14.614604497276954,99.39332484755079
39.0,128.70699089432475,26.353265969156855,69.9030623737665,16.24602952045517,86.14909189422167
40.0,119.9234716401257,24.869442017267303,59.52520635995921,18.10983200558195,77.63503836554116
41.0,113.84919278611544,23.500852774023517,52.211209249651084,20.222681466467137,72.43389071611821
42.0,109.91315521521396,22.235960695077186,47.05037584358332,22.599511467387064,69.64988731097039
43.0,107.70992445298563,21.064515611467204,43.4508908489626,25.25288217670906,68.70377302567167
44.0,106.94738710970074,19.977442338267558,41.02027320021032,28.192368383059836,69.21264158327016
45.0,107.41162301759404,18.966727195218763,39.49355559578591,31.424023728590374,70.91757932437628
46.0,108.94282494008088,18.02530644759945,38.689019444232784,34.94996310169947,73.63898254593225
47.0,111.41848037784976,17.14695917584846,38.48022617812709,38.76809447418271,77.2483206523098
48.0,114.74142662872553,16.326206495500337,38.77790493921427,42.87201880962118,81.64992374883545
49.0,118.83125512675647,15.558218456692483,39.51793082856259,47.25110312130358,86.76903394986617
50.0,123.6180832121408,14.838729404983845,40.653148019917836,51.890718657054975,92.54386667697281
51.0,129.03805369339804,14.163962114802727,42.14767590603891,56.7726248500345,98.9203007560734
52.0,135.0301388071976,13.530560628341481,43.97286115735603,61.875471093140504,105.84833225049653
53.0,141.53396080868356,12.935531448186838,46.10435570055072,67.17538311245437,113.27973881300508
54.0,148.48842499397045,12.376192534686409,48.51999486325845,72.64659879824079,121.16659366149923
55.0,155.83101098298735,11.850129437181135,51.19826962066472,78.26211946043327,129.460389081098
56.0,163.49759694916142,11.355157827743508,54.1172602694955,83.99434598775969,138.11160625725518
57.0,171.4227076425059,10.889291692762434,57.25394292764975,89.81567454463931,147.06961747228905
58.0,179.54008636558447,10.450716458573012,60.583805588441734,95.69903246597643,156.28283805441816
59.0,187.7834975080936,10.03776637116476,64.08072390834693,101.61834122175101,165.69906513009795
60.0,196.08767239496575,9.648905507749475,67.71705311513128,107.54889918069343,175.26595229582472
61.0,204.389318528213,9.28271186263959,71.46389462294638,113.46768203261122,184.9315766555576
62.0,212.62812142982995,8.937864016354167,75.29149640371037,119.35356292099604,194.6450593247064
