W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,1.9981209530610804,5.433219085775635,1.9995602050708623,27.881957163460513
0.21000000000000002,0.0,17.478284333084332,0.03547338219336523,28.050796751934605
0.22,4.00015133054549,3.229007997898003,2.000004371615245,29.043861339680575
0.23,4.000038942529411,2.9998868863350543,3.000052968749954,29.41528486046995
0.24000000000000002,4.000038942529411,2.9998868863350543,3.000052968749954,29.427343177109304
0.25,4.007309750669053,2.9926212217486405,3.0000030209849395,29.449557280854393
0.26,4.007309750669053,2.9926212217486405,3.0000030209849395,29.47747893452581
0.27,4.007073327043279,2.992892267305188,3.00002187435983,29.512816233548456
0.28,4.007073327043279,2.992892267305188,3.00002187435983,29.555397459823887
0.29000000000000004,4.00038261503205,2.998860505822314,3.000748399770847,29.60375903216101
0.30000000000000004,4.0222911558884675,2.9701890044798898,3.0075193273291845,29.665806196128603
0.31,4.000068255873862,2.839009364457522,3.000000759787336,29.734860499794838
0.32,4.000021789389404,2.9954176411239093,3.004526174852856,29.791690078458107
0.33,4.000020037735204,2.8498615220567753,3.0000015294055773,29.865076418747737
0.34,4.000000000366721,2.5914956370482143,3.000006407682476,29.933759296980398
0.35,4.0000000108130145,2.374279651221756,3.0264713075645635,29.99788114912339
0.36,4.000043513047805,2.144383485795507,3.000000004735902,30.05136833950839
0.37,4.000001637905912,2.0000444701027673,3.0000160346659124,30.10199462296925
0.38,4.0000288861369935,2.037801989069701,3.0000005047699663,30.156009819206133
0.39,4.00000694166936,2.0001467822267784,2.999735385076503,30.09738264146098
