GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,4.315891757734343,2.638031173921256,3.0460770670413377,30.749182049973065
0.09,4.99998000643998,2.999974104555454,2.58025543651586,29.55313261305895
0.1,4.838641358548504,2.12530785700368,3.036050769751184,30.50534560481554
0.11,4.706783664376038,2.292957281250624,3.0002590495011168,30.30011090054499
0.12,4.999999997798531,3.6754502644684237,2.8205048555266354,29.384308328003808
0.13,4.999976146007189,2.3052684466951714,2.9578361283248786,29.80557921694693
0.14,4.999976146007189,2.3052684466951714,2.9578361283248786,29.737028313305682
0.15000000000000002,4.978433816242148,3.021625488998387,1.9999835471726408,28.077372733527216
0.16,4.999875802278159,2.0179889541984504,2.982144637657926,29.705304550406254
0.16999999999999998,4.9999888415089355,2.0416108078747346,2.9584012293496684,29.628401462441843
0.18,4.999165602605913,2.000057071912519,3.000000336730105,29.68835898582303
0.19,4.98860793581043,2.0000020652398494,3.0113371904152597,29.659529551421443
0.2,4.98860793581043,2.0000020652398494,3.0113371904152597,29.626276968893713
0.21000000000000002,5.301769694187497,3.00002219789459,2.6980949710563875,29.378424370152963
0.22000000000000003,4.999988952504976,2.0250645481626517,2.9959906578861926,29.55663858984593
0.22999999999999998,4.999988952504976,2.0250645481626517,2.9959906578861926,29.559139923894794
0.24,4.969784697612104,2.029166241099813,3.0010144034875275,29.580974573871874
0.25,4.980405189646296,2.019462199730473,3.0000023742691337,29.58246268234963
0.26,4.980405189646296,2.019462199730473,3.0000023742691337,29.595325058538442
0.27,4.980405189646296,2.019462199730473,3.0000023742691337,29.613766378384412
