W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,5.927103540139002,2.000023847096452,3.072738674577269,30.698729532084656
0.21000000000000002,5.764334027713085,2.000000004950828,3.001368299087283,30.691805453849042
0.22,5.5079367018801975,2.000072753190226,3.0000003015636265,30.704603860785312
0.23,5.626131032208051,2.0000000114018235,3.0000000794363513,30.713516445274603
0.24000000000000002,5.553135162258329,2.0084969746088257,3.0000000008103127,30.728438083511968
0.25,5.486927134755872,2.0000000058761964,3.0000000163928693,30.7431560536654
0.26,4.934849267434949,2.002306485861424,3.0628156436608194,30.75648250810304
0.27,4.977679252030306,2.0000098201015595,3.02215664916793,30.7542465398555
0.28,3.9719844011533105,2.0000345612223027,3.0279497862905753,30.83297969749923
0.29000000000000004,3.9719237811533556,2.0000178301211395,3.0279484012566957,30.83359988108568
0.30000000000000004,3.99401106291406,2.000008758216186,3.0059752133908364,30.825100900148506
0.31,3.99401106291406,2.000008758216186,3.0059752133908364,30.833787719705235
0.32,3.96321816993523,2.0000161682793207,3.036731876992114,30.860714683031226
0.33,3.9994298146742633,2.000004848676449,3.0004093169116928,30.858745539078114
0.34,3.9963391387965252,2.000091057892507,3.0000189591920314,30.877668528165827
0.35,3.996395303895512,2.000000011251026,3.003562637996178,30.899975094969488
0.36,3.998928208627563,2.000015002706128,3.001048959036056,30.92370444282853
0.37,3.9802203215554774,2.0000198081628255,3.019748050208878,30.955611777735495
0.38,3.9762652365953146,2.0000061275506456,3.000004688130967,30.983022476986356
0.39,3.9805280930121825,2.0000024489768053,3.0194523338117616,31.01689075843622
