GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,2.860047536215721,4.00002863504988,3.000014550620578,29.88380540198908
0.09,2.739353448718294,3.260625827305671,3.0000207224345434,30.307819905051378
0.1,2.9999339584166966,2.758502301550921,2.2415654393184528,29.548416399375768
0.11,2.999918071941263,2.7595598524302485,2.2492258521156963,29.510139045142388
0.12,3.3660986573353036,2.6278453646056255,3.0060559751820737,30.645169428882728
0.13,3.472846216056885,2.5263110694100073,3.0008427140116396,30.545921479743924
0.14,3.999961279378076,2.999993476439551,2.2574832384675076,29.220158086841504
0.15000000000000002,3.982656894079633,2.000198622850027,3.017131213216074,30.40415844931416
0.16,3.7732421174044517,3.742344114833036,1.9999949290105894,28.081896470431943
0.16999999999999998,3.7732421174044517,3.742344114833036,1.9999949290105894,28.221979173685973
0.18,3.9328682230576,3.760160565355262,1.9999875392028765,28.339300117656343
0.19,47.73895644645049,2.001408904807432,4.259487526630782,28.287299911834346
0.2,14.851385263038402,2.9999738420847395,2.9504496368383624,28.719924242032125
0.21000000000000002,3.9999836814208294,2.999952457488096,2.7335463429715343,29.560675299994426
0.22000000000000003,3.999999172037315,2.2084043924499546,2.978900042469898,29.82580107749647
0.22999999999999998,3.9886212630059426,2.011346571279579,3.0000128345139982,29.855864474720622
0.24,3.9224281196578774,2.077444383853819,3.0000096320212686,29.84455548059337
0.25,3.9224281196578774,2.077444383853819,3.0000096320212686,29.820499980606357
0.26,3.9224281196578774,2.077444383853819,3.0000096320212686,29.801552279849627
0.27,3.922062954507253,2.07739524226755,3.000002929262851,29.78746317105231
