Generation,WOC,WOB,WMMd,WMMr,W_average
2,-0.5052327964140936,-0.15948836991928295,-0.8379859718327782,0.032748905574023324,-0.5688672308190854
3,-0.6068790010052686,-0.09980975896658495,-0.8318256476924053,0.1414794745448935,-0.6410590222012119
4,-0.6670308687225459,-0.06449338944103156,-0.8281801905743815,0.20582360913861297,-0.6877700152631725
5,-0.7058567398994182,-0.041698042354872955,-0.8258273443837362,0.247355262162416,-0.7194952334037821
6,-0.7324841799698752,-0.026064826371245298,-0.8242140799404847,0.27583805739492817,-0.7419664433271217
7,-0.7515579050326504,-0.014866956726536595,-0.8230592696294131,0.2962402847826644,-0.7584180883864311
8,-0.7656635189647714,-0.006586919961462767,-0.8222071096446297,0.3113276934715228,-0.7707709881324301
9,-0.7763399241537212,-0.0003225658025565181,-0.8215665835426793,0.3227471590142783,-0.7802153999673087
10,-0.784539581942711,0.004481780488280074,-0.8210857781169738,0.33152190994243647,-0.7874958508372972
11,-0.7908317971618732,0.00815096020780326,-0.8207456934402193,0.3382798111972838,-0.7930200596605501
12,-0.7954253406344555,0.010781702284871741,-0.8205763582762484,0.34331611480840585,-0.7967853198298258
13,-0.7979153137727911,0.012063396725055409,-0.820722948126902,0.3464549455725898,-0.797925207219808
14,-0.7963324707502162,0.010631645500449927,-0.8216501431713308,0.34646809885841434,-0.7932222119425734
15,-0.7843514153462334,0.0021918046025244386,-0.8247065235415991,0.3394063085234922,-0.7729972114745058
16,-0.7452035415397982,-0.024530951163236003,-0.8332884258851108,0.31516945782489336,-0.7134443920630056
17,-0.6495427219225048,-0.08906760134104152,-0.8530161250236756,0.257115691582785,-0.5814125445520707
18,-0.49000576269469864,-0.1958711574605071,-0.8845786327632069,0.16342364257522135,-0.3941172355744974
19,-0.32310617505363093,-0.30677064103277923,-0.9162515039804174,0.06904738751536565,-0.23824432818341937
20,-0.2037746581444141,-0.38539314169394895,-0.9378152692901407,0.00448056465053126,-0.1498198034585372
21,-0.1350496320136504,-0.43023417326106345,-0.949525102367347,-0.030722402208160027,-0.10643897680519025
22,-0.09914503703903477,-0.4534003320631337,-0.9552225392469741,-0.04781835565837422,-0.08529420464635754
23,-0.08102466065759151,-0.46494111083395473,-0.9578551928249301,-0.055610609863228744,-0.07461175130193899
24,-0.07188849475852965,-0.4706730100357675,-0.959042884869408,-0.059012860528723676,-0.06897858136014058
25,-0.06719222394295199,-0.473569902481531,-0.9595739450011025,-0.06044218614252572,-0.06587886872162954
26,-0.06469974883789842,-0.4750799475153768,-0.9598117805374167,-0.061015762977702837,-0.06410346939180363
27,-0.0633251454396242,-0.47589810506330604,-0.9599194843605162,-0.06123043571609532,-0.06304994630312497
28,-0.0625368378329465,-0.4763598412542444,-0.9599692940748008,-0.06130062152479465,-0.0624063448225138
29,-0.06206851602786079,-0.47663051719170935,-0.959993062599903,-0.06131613340249298,-0.06200429528535485
30,-0.06178209045752592,-0.4767943640536161,-0.9600048791549712,-0.06131323784440368,-0.06174903210842092
31,-0.061602988833708294,-0.476896049986779,-0.9600110393540694,-0.06130578049546642,-0.061585125998653324
32,-0.061489190490545576,-0.47696032220448953,-0.9600144132752907,-0.061298540045052974,-0.061479075692073254
33,-0.06141607818190675,-0.4770014699001688,-0.9600163481398746,-0.061292802866642404,-0.0614101120779845
34,-0.061368756822857806,-0.4770280406021991,-0.9600175015470029,-0.06128862567496096,-0.061365120838183386
35,-0.06133797788230655,-0.47704529675560486,-0.9600182100570872,-0.06128571234326108,-0.0613357068852096
36,-0.06131789486054162,-0.47705654555099347,-0.9600186552345474,-0.06128373031298917,-0.061316452200636175
