Generation,WOC,WOB,WMMd,WMMr,W_average
65,-0.061279809339042646,-0.5070754264150672,-1.5265070599839092,-0.06127980923497334,-0.061279809042972075
66,-0.061279809518041795,-0.5070754264301185,-1.5265070601425288,-0.061279809391974194,-0.061279809208416476
67,-0.06127980969704072,-0.5070754264451698,-1.5265070603011481,-0.06127980954897527,-0.061279809373860836
68,-0.06127980987603965,-0.5070754264602212,-1.5265070604597673,-0.06127980970597613,-0.06127980953930512
69,-0.061279810055038575,-0.5070754264752726,-1.526507060618387,-0.06127980986297743,-0.061279809704749555
70,-0.06127981023403761,-0.5070754264903239,-1.5265070607770062,-0.06127981001997851,-0.061279809870193984
71,-0.06127981041303665,-0.5070754265053753,-1.526507060935626,-0.06127981017697959,-0.06127981003563841
72,-0.06127981059203558,-0.5070754265204265,-1.526507061094245,-0.061279810333980445,-0.06127981020108268
73,-0.061279810747630115,-0.5070754265329513,-1.5265070612309306,-0.061279810469451634,-0.06127981034464312
74,-0.06127981071308053,-0.5070754265249486,-1.5265070611894167,-0.06127981043000785,-0.061279810310412214
