Generation,xOC,xOB,xMMd,xMMr
0.0,0.15,0.4,0.25,0.2
1.0416666666666667,0.3741246539644716,0.2844146908692248,0.22586887287681737,0.11559178228948636
2.0833333333333335,0.5069551305854412,0.18990955367732892,0.23279979473262818,0.07033552100460178
3.125,0.5590310580694761,0.12700034062897306,0.2692660861770701,0.044702515124480875
4.166666666666667,0.5753820651095665,0.08092435864854755,0.3167300386165618,0.0269635376253242
5.208333333333334,0.5772875743097979,0.04785871008843482,0.3600684222303396,0.014785293371427635
6.25,0.5745258370985066,0.02642094011442958,0.3916456522210915,0.00740757056597239
7.291666666666667,0.5713404485392362,0.013888095474405601,0.41129326383129783,0.003478192155060338
8.333333333333334,0.5690308630347308,0.007085719467859879,0.42231365342207966,0.0015697640753296223
9.375,0.567638266560266,0.003556012880881196,0.4281126158178805,0.0006931047409724419
10.416666666666668,0.5668771687855529,0.0017692910356736872,0.4310509902970696,0.0003025498817038563
11.458333333333334,0.5664843913807127,0.000876478974473631,0.4325078219707537,0.00013130767405986854
12.5,0.566288582943219,0.0004332546980991343,0.43322133673386987,5.6825624811901015e-05
13.541666666666668,0.5661929958765005,0.000213938229295836,0.43356850737651487,2.455851768886831e-05
14.583333333333334,0.5661469075413472,0.00010558569012632439,0.4337369008400186,1.0605928507745802e-05
15.625000000000002,0.5661248401262375,5.209798494152639e-05,0.43381848285187413,4.579036946622202e-06
16.666666666666668,0.5661143100203073,2.5701454188172877e-05,0.43385801253867196,1.9759868324689563e-06
17.708333333333336,0.5661092906771631,1.267853219090158e-05,0.4338771781829945,8.526076513885196e-07
18.75,0.5661068969818976,6.254216160028535e-06,0.4338864808760461,3.6792589606719955e-07
19.791666666666668,0.5661057546384456,3.085216604948097e-06,0.43389100135422526,1.5879072401654222e-07
20.833333333333336,0.5661052074434787,1.5210714631647499e-06,0.43389320311087587,6.837418209470424e-08
21.875,0.5661049456853328,7.497965390232721e-07,0.43389427498934924,2.9528778825677104e-08
22.916666666666668,0.5661048202940168,3.706676353698789e-07,0.4338947962344267,1.2803921030151927e-08
23.958333333333336,0.566104759960662,1.8327265585029685e-07,0.4338950511891972,5.577484808228126e-09
25.0,0.5661047302119055,9.006246571525438e-08,0.4338951773655885,2.3600401686107185e-09
25.0,0.5661047302119055,9.006246571525438e-08,0.4338951773655885,2.3600401686107185e-09
26.013513513513512,0.674791701347138,7.292895125027183e-08,0.32520822359160767,2.1323035804813645e-09
27.027027027027028,0.7209905948779103,7.068073267693656e-08,0.27900933186179083,2.5795665384813778e-09
28.04054054054054,0.7427052728577718,7.510503498998962e-08,0.2572946484406895,3.5965042896777243e-09
29.054054054054056,0.7536143294733795,8.367396521029208e-08,0.24638558146639897,5.3862570710487856e-09
30.06756756756757,0.7593045810460718,9.556945464392336e-08,0.24069531501140592,8.373068832790212e-09
31.08108108108108,0.762334463260636,1.1061688124129873e-07,0.23766541284570203,1.3276782457733242e-08
32.0945945945946,0.7639660303900455,1.289547616040157e-07,0.23603381937704696,2.127814860287543e-08
33.10810810810811,0.7648500190204712,1.5091819533910334e-07,0.23514979576216236,3.429917516953851e-08
34.12162162162162,0.7653305653355639,1.7699619840005563e-07,0.23466920220605958,5.546218416069401e-08
35.13513513513514,0.7655922654070598,2.0781954115364915e-07,0.23440743693692406,8.983648398638792e-08
36.148648648648646,0.765734914258521,2.4416391177680845e-07,0.23426469592667237,1.4565090822935622e-07
37.16216216216216,0.7658126959765877,2.869625766570196e-07,0.23418678079858066,2.3626227483640874e-07
38.17567567567568,0.7658550953315925,3.373262521354599e-07,0.23414418399044537,3.8335173971706803e-07
39.18918918918919,0.7658781734250307,3.9656939065905306e-07,0.2341208078958506,6.221097723505248e-07
40.2027027027027,0.7658906800727465,4.6624288467066995e-07,0.2341078440310065,1.0096534285254009e-06
41.21621621621622,0.7658973677259077,5.481736592026663e-07,0.23410044537338545,1.6387271464192263e-06
42.229729729729726,0.7659008036776184,6.44511897346359e-07,0.23409589187583135,2.65993480018685e-06
43.24324324324324,0.7659023363064167,7.577858902848464e-07,0.23409258861440782,4.317293504703881e-06
44.25675675675676,0.7659026285856146,8.90976328608671e-07,0.2340894690977269,7.011340657244626e-06
45.270270270270274,0.765901919849946,1.047579460801179e-06,0.2340856443887151,1.13881823664699e-05
46.28378378378379,0.7659001437534676,1.2316992636707484e-06,0.23408012976569184,1.849478230553235e-05
47.2972972972973,0.7658969298534558,1.4481605770060232e-06,0.2340715869092982,3.0035077756048636e-05
48.310810810810814,0.7658915563429283,1.7026174590982568e-06,0.2340579776865893,4.87633546446837e-05
49.32432432432432,0.7658827739650932,2.001713850937592e-06,0.23403605788166565,7.91664418085466e-05
50.33783783783784,0.7658685169249265,2.3532144943281486e-06,0.23400061815743214,0.00012851170675370188
51.351351351351354,0.7658454129220392,2.766179825146979e-06,0.23394323349341875,0.00020858741009502702
52.36486486486487,0.7658079803661518,3.251126060041946e-06,0.23385025974098925,0.0003385087748175874
53.37837837837838,0.7657473231527839,3.820157796148008e-06,0.23369960042399884,0.0005492562773744703
54.391891891891895,0.7656490043193674,4.4870153132082316e-06,0.23345547476736733,0.000891033915765798
55.4054054054054,0.7654896451600502,5.2669103431311455e-06,0.23306012415087538,0.0014449638052667863
56.41891891891892,0.7652313748670576,6.175947831977491e-06,0.2324204577229842,0.002341991501624902
57.432432432432435,0.764812998733648,7.2297106762874395e-06,0.23138727300504933,0.0037924986093516378
58.44594594594595,0.764135870432087,8.440255030138113e-06,0.22972321200209309,0.00613247739793347
