Strength WMMd IH,Strength MMd GF IH,MM number
0.08,0.38,22.860863707895554
0.08,0.4,22.783651757498884
0.1,0.0,29.191618007864747
0.1,0.02,28.37775206713141
0.1,0.04,27.566889904455643
0.1,0.06,26.959396285794735
0.1,0.08,26.337476957057458
0.1,0.1,25.887745465264384
0.1,0.12,25.455802022068404
0.1,0.14,25.081812854560713
0.1,0.16,24.715676728203526
0.1,0.18,24.479899963918054
0.1,0.2,24.19908683324985
0.1,0.22,23.994157286542087
0.1,0.24,23.858312138770575
0.1,0.26,23.66928651838828
0.1,0.28,23.580216932433636
0.1,0.3,23.47170314186219
0.1,0.32,23.342834734088946
0.1,0.34,23.265671183709276
0.1,0.36,23.236436264221158
0.1,0.38,23.145454016380285
0.1,0.4,23.098771997710564
0.12,0.0,28.566935661351472
0.12,0.02,27.83907771000444
0.12,0.04,27.109454075929808
0.12,0.06,26.57508092043731
0.12,0.08,26.02243462751652
0.12,0.1,25.63598129818032
0.12,0.12,25.263747030829272
0.12,0.14,24.945763534524467
0.12,0.16,24.63250772200018
0.12,0.18,24.446348933971695
0.12,0.2,24.21269413589947
0.12,0.22,24.052477643985224
0.12,0.24,23.959317517882784
0.12,0.26,23.81079225846302
0.12,0.28,23.76075791968931
0.12,0.3,23.689451393234243
0.12,0.32,23.595955153789856
0.12,0.34,23.552978378165104
0.12,0.36,23.556928555703763
0.12,0.38,23.49713955468525
0.12,0.4,23.48078165197083
0.14,0.0,28.048156450880008
0.14,0.02,27.347468137958685
0.14,0.04,26.746000198361266
0.14,0.06,26.23118058282725
0.14,0.08,25.792127925524333
0.14,0.1,25.419384526056884
0.14,0.12,25.104697017653375
0.14,0.14,24.840835401307068
0.14,0.16,24.6214432203845
0.14,0.18,24.440913112613988
0.14,0.2,24.294283102438946
0.14,0.22,24.17714992321343
0.14,0.24,24.085596367001223
0.14,0.26,24.016130191493218
0.14,0.28,23.965632572344806
0.14,0.3,23.931314680856726
0.14,0.32,23.91068043095965
0.14,0.34,23.90149507198546
0.14,0.36,23.901758133540856
0.14,0.38,23.90968012401
0.14,0.4,23.923662353108693
0.16,0.0,27.62232101768136
0.16,0.02,26.99697332045045
0.16,0.04,26.465170930605485
0.16,0.06,26.015089117767143
0.16,0.08,25.636480838626504
0.16,0.1,25.320428020621783
0.16,0.12,25.059137037650636
0.16,0.14,24.84576992690836
0.16,0.16,24.6743046389329
0.16,0.18,24.539418941159713
0.16,0.2,24.436393706780418
0.16,0.22,24.36103212034858
0.16,0.24,24.30959201215603
0.16,0.26,24.278728967836436
0.16,0.28,24.265448681117995
0.16,0.3,24.267066253174328
0.16,0.32,24.28117214393253
0.16,0.34,24.305603004896582
0.16,0.36,24.33841680093741
0.16,0.38,24.377871447209166
0.16,0.4,24.422406330911308
0.18,0.0,27.27845822831001
0.18,0.02,26.723673909489968
0.18,0.04,26.257347136491063
0.18,0.06,25.868331659797683
0.18,0.08,25.546956654601566
0.18,0.1,25.28479429920039
0.18,0.12,25.07446858565397
0.18,0.14,24.90949750033866
0.18,0.16,24.78416230781314
0.18,0.18,24.693398974173796
0.18,0.2,24.632707752105105
0.18,0.22,24.598077659733118
0.18,0.24,24.585923261491583
0.18,0.26,24.59303188475048
0.18,0.28,24.61651877294334
0.18,0.3,24.65378975974178
0.18,0.32,24.702509505871056
0.18,0.34,24.760574618863927
0.18,0.36,24.826090764659504
0.18,0.38,24.897353090337177
0.18,0.4,24.97282937501352
0.2,0.0,27.00722468829747
0.2,0.02,26.518833240922646
0.2,0.04,26.114333250468615
0.2,0.06,25.783197151755225
0.2,0.08,25.516279803511242
0.2,0.1,25.305600774154584
0.2,0.12,25.144165184023368
0.2,0.14,25.02581573648265
0.2,0.16,24.945110169624378
0.2,0.18,24.8972194392422
0.2,0.2,24.877842956967918
0.2,0.22,24.883137803753336
0.2,0.24,24.909659816599145
0.2,0.26,24.954313748259374
0.2,0.28,25.01431193391003
0.2,0.3,25.087139329584957
0.2,0.32,25.170524106784498
0.2,0.34,25.26241281322666
0.2,0.36,25.360949361862684
0.2,0.38,25.464457091573124
0.2,0.4,25.57142344078231
0.22,0.0,26.800619076513776
0.22,0.02,26.374967828228144
0.22,0.04,26.0291078907395
0.22,0.06,25.753078180392254
0.22,0.08,25.538215197795502
0.22,0.1,25.376948628434405
0.22,0.12,25.262633032113918
0.22,0.14,25.189408799760933
0.22,0.16,25.15208695044241
0.22,0.18,25.146053432408102
0.22,0.2,25.16718940493463
0.22,0.22,25.211805040928716
0.22,0.24,25.276583704521904
0.22,0.26,25.358535786434334
0.22,0.28,25.454959821138914
0.22,0.3,25.563409942513143
0.22,0.32,25.681668592149173
0.22,0.34,25.807723582342412
0.22,0.36,25.93974875361615
0.22,0.38,26.076087372636795
0.22,0.4,26.21523908548388
0.24,0.0,26.65175384434098
0.24,0.02,26.285634423894255
0.24,0.04,25.995624477364743
0.24,0.06,25.772283706735273
0.24,0.08,25.60739179737579
0.24,0.1,25.49375606319655
0.24,0.12,25.425052979981505
0.24,0.14,25.395697211696092
0.24,0.16,25.400733054943508
0.24,0.18,25.435744267575583
0.24,0.2,25.49677893880054
0.24,0.22,25.580287225499557
0.24,0.24,25.683068745776097
0.24,0.26,25.80222929282369
0.24,0.28,25.93514437125632
0.24,0.3,26.079428842230435
0.24,0.32,26.232911532379074
0.24,0.34,26.393613964162494
0.24,0.36,26.55973244696068
0.24,0.38,26.729623638735774
0.24,0.4,26.90179198054627
0.26,0.0,26.55467141076543
0.26,0.02,26.245258523625616
0.26,0.04,26.008650657087294
0.26,0.06,25.83588822778928
0.26,0.08,25.719160450353304
0.26,0.1,25.65162393778594
0.26,0.12,25.627253166174008
0.26,0.14,25.64071681241137
0.26,0.16,25.687275236099378
0.26,0.18,25.762695209883127
0.26,0.2,25.863179332649047
0.26,0.22,25.985306534175503
0.26,0.24,26.12598314439266
0.26,0.26,26.282401781675826
0.26,0.28,26.452007232625157
0.26,0.3,26.632467944958655
0.26,0.32,26.82165221678319
0.26,0.34,27.01760904229833
0.26,0.36,27.21855175713814
0.26,0.38,27.42284352550542
0.26,0.4,27.628986998746505
0.28,0.0,26.453730440377047
0.28,0.02,26.248995304717802
0.28,0.04,26.063638077437638
0.28,0.06,25.892744725385757
0.28,0.08,25.869478570882944
0.28,0.1,25.846726755673938
0.28,0.12,25.821057399852084
0.28,0.14,25.92102052248314
0.28,0.16,25.965015487514847
0.28,0.18,26.123780326559586
0.28,0.2,26.263408836119975
0.28,0.22,26.381948842056794
0.28,0.24,26.60261039549959
0.28,0.26,26.755162773785617
0.28,0.28,27.003076129590994
0.28,0.3,27.220172039992008
0.28,0.32,27.40542908013063
0.28,0.34,27.67758703469503
0.28,0.36,27.91420067014971
0.28,0.38,28.11469420092851
0.28,0.4,28.356250553953572
0.3,0.0,26.445617595029926
0.3,0.02,26.29261612351069
0.3,0.04,26.15661607288834
0.3,0.06,26.032858578733805
0.3,0.08,26.054815965452256
0.3,0.1,26.07572361936976
0.3,0.12,26.092240307455846
0.3,0.14,26.233598079557943
0.3,0.16,26.31769224291678
0.3,0.18,26.516270970012783
0.3,0.2,26.694866134736447
0.3,0.22,26.851555505503505
0.3,0.24,27.11058466257257
0.3,0.26,27.30050274514104
0.3,0.28,27.58620417455062
0.3,0.3,27.84050259149317
0.3,0.32,28.062371870668027
0.3,0.34,28.371721435969725
0.3,0.36,28.644961465779808
0.3,0.38,28.881501466311438
0.3,0.4,29.15930424944593
0.32,0.0,26.475580562177036
0.32,0.02,26.37241530645026
0.32,0.04,26.28410433783758
0.32,0.06,26.206038990275964
0.32,0.08,26.272077450017093
0.32,0.1,26.33568507675549
0.32,0.12,26.39361144407261
0.32,0.14,26.575810092746327
0.32,0.16,26.699600150340377
0.32,0.18,26.937775970047483
0.32,0.2,27.155272769613113
0.32,0.22,27.35020273757222
0.32,0.24,27.647837113134006
0.32,0.26,27.875513335647362
0.32,0.28,28.199522347842947
0.32,0.3,28.49168681911188
0.32,0.32,28.75098344112273
0.32,0.34,29.09843778828746
0.32,0.36,29.409361746293825
0.32,0.38,29.68315525130576
0.32,0.4,29.998509510598456
0.34,0.0,26.540146296155342
0.34,0.02,26.436452721447637
0.34,0.04,26.395312429380123
0.34,0.06,26.40940706943892
0.34,0.08,26.472328954605974
0.34,0.1,26.578435678789354
0.34,0.12,26.722729818657136
0.34,0.14,26.9007591430356
0.34,0.16,27.10853348974076
0.34,0.18,27.342456055365723
0.34,0.2,27.599265185864702
0.34,0.22,27.875986270838883
0.34,0.24,28.169893696542637
0.34,0.26,28.47847480284138
0.34,0.28,28.799404467617574
0.34,0.3,29.130522192763266
0.34,0.32,29.469813799545875
0.34,0.34,29.81539671874875
0.34,0.36,30.165508248782107
0.34,0.38,30.51849638784143
0.34,0.4,30.87281277273606
0.36,0.0,26.636249401365045
0.36,0.02,26.579264852299445
0.36,0.04,26.582981115332238
0.36,0.06,26.640420264339355
0.36,0.08,26.74546772675323
0.36,0.1,26.892733808165985
0.36,0.12,27.07743905207832
0.36,0.14,27.295318955803374
0.36,0.16,27.54254455301885
0.36,0.18,27.815656762063178
0.36,0.2,28.11151025632059
0.36,0.22,28.42722884642439
0.36,0.24,28.760166272128288
0.36,0.26,29.10787431382372
0.36,0.28,29.468077204739423
0.36,0.3,29.83864997421021
0.36,0.32,30.21760109941959
0.36,0.34,30.60305861157665
0.36,0.36,30.9932591859171
0.36,0.38,31.386539753181914
0.36,0.4,31.781331228255205
0.38,0.0,26.76117511679928
0.38,0.02,26.749539747879492
0.38,0.04,26.79697518015007
0.38,0.06,26.89682541807415
0.38,0.08,27.04325396728771
0.38,0.1,27.231111763985012
0.38,0.12,27.455827649993445
0.38,0.14,27.713317278185777
0.38,0.16,27.999907008859076
0.38,0.18,28.312270799594028
0.38,0.2,28.64737735477637
0.38,0.22,29.002445591268987
0.38,0.24,29.374907564445834
0.38,0.26,29.762378504598548
0.38,0.28,30.162631429513674
0.38,0.3,30.57357658295021
0.38,0.32,30.993244828102103
0.38,0.34,31.419774476429893
0.38,0.36,31.851401026447565
0.38,0.38,32.28644943455336
0.38,0.4,32.72332864121601
0.4,0.0,26.912511490916433
0.4,0.02,26.945016751601077
0.4,0.04,27.035169486031982
0.4,0.06,27.17661937154034
0.4,0.08,27.363794926874288
0.4,0.1,27.591777339010616
0.4,0.12,27.856195665907318
0.4,0.14,28.153139507150676
0.4,0.16,28.479085744513846
0.4,0.18,28.830839104925154
0.4,0.2,29.20547938730227
0.4,0.22,29.600319316784084
0.4,0.24,30.012869408255483
0.4,0.26,30.440808226965594
0.4,0.28,30.881958070098666
0.4,0.3,31.33426508602323
0.4,0.32,31.7957832946715
0.4,0.34,32.26466194405418
0.4,0.36,32.73913576712309
0.4,0.38,33.21751791893199
0.4,0.4,33.69819491161935
