Key,Value
0.0,15.714650057412513
0.001,15.67020735137466
0.002,15.626423905246346
0.003,15.583289882061372
0.004,15.540796841246255
0.005,15.498936376290427
0.006,15.457699205276102
0.007,15.417077462898451
0.008,15.377062854280846
0.009,15.33764631873236
0.01,15.298820906116706
0.011,15.260578273350113
0.012,15.22291077724028
0.013,15.185810776450204
0.014,15.149270700932899
0.015,15.113283297420057
0.016,15.077841349781002
0.017,15.042937660564734
0.018,15.008565441486162
0.019,14.974717535670408
0.02,14.941387466533135
0.021,14.908568280863541
0.022,14.87625372593389
0.023,14.844437245143737
0.024,14.813112458734949
0.025,14.782273268852308
0.026,14.75191327467596
0.027,14.722026943970068
0.028,14.69260790372746
0.029,14.663650571795124
0.03,14.63514916164922
0.031,14.607097870697457
0.032,14.579491420340755
0.033,14.552324014315317
0.034,14.525590407236056
0.035,14.499285658644666
0.036,14.4734039532375
0.037,14.447940523055777
0.038,14.422890305138225
0.039,14.398248290484347
0.04,14.37400961356111
0.041,14.35016928722896
0.042,14.326722540275012
0.043,14.303665053130512
0.044,14.280991789667524
0.045,14.258698612325464
0.046,14.236780710076896
0.047,14.21523374145573
0.048,14.194053725477644
0.049,14.173236061730314
0.05,14.152776521127635
0.051,14.132671034874237
0.052,14.112915756516255
0.053,14.093506215160534
0.054,14.074438910011965
0.055,14.055709620604087
0.056,14.037314644313032
0.057,14.019250193815935
0.058,14.001512413657196
0.059,13.984097804696333
0.06,13.967002501154465
0.061,13.950223166960384
0.062,13.933756427949383
0.063,13.917598071889113
0.064,13.901745427933399
0.065,13.886194858648555
0.066,13.870943139729825
0.067,13.8559867697305
0.068,13.841322685066807
0.069,13.826947696137672
0.07,13.81285857131532
0.071,13.799052235833187
0.072,13.785525680754565
0.073,13.77227596580601
0.074,13.759299993879939
0.075,13.746594778381194
0.076,13.734157637721484
0.077,13.721985354215732
0.078,13.710075794768702
0.079,13.698425479822827
0.08,13.687031957438903
0.081,13.675892771549979
0.082,13.665004514269658
0.083,13.654365366929564
0.084,13.643972476495033
0.085,13.63382302738572
0.086,13.623914889688258
0.087,13.614245366742924
0.088,13.604812067521
0.089,13.595612390939124
0.09,13.586644179207582
0.091,13.577905039646662
0.092,13.569392488953085
0.093,13.561104430406807
0.094,13.553038337892321
0.095,13.545192242321821
0.096,13.537563802071999
0.097,13.530150986078846
0.098,13.522951227131292
0.099,13.515962732308402
0.1,13.50918352329435
0.101,13.502611180004964
0.102,13.496243967763974
0.103,13.4900796634131
0.104,13.484116388358984
0.105,13.478352086904815
0.106,13.472784959536607
0.107,13.46741289231543
0.108,13.462234208601974
0.109,13.457246770822705
0.11,13.45244904355312
0.111,13.44783888584829
0.112,13.443414736039815
0.113,13.439174776140934
0.114,13.435117084365793
0.115,13.431240227626986
0.116,13.42754210056373
0.117,13.424021265027731
0.118,13.42067614222682
0.119,13.41750474041308
0.12,13.41450569960804
0.121,13.411677316338913
0.122,13.409018126456438
0.123,13.406526327221787
0.124,13.404200489947677
0.125,13.40203908604444
0.126,13.40004058220004
0.127,13.398203509081647
0.128,13.396526383787005
0.129,13.395007562424336
0.13,13.393645862520945
0.131,13.392439715317145
0.132,13.391387723753958
0.133,13.390488546763835
0.134,13.389740670325711
0.135,13.389142850065245
0.136,13.38869372132251
0.137,13.38839196016007
0.138,13.388236195193041
0.139,13.388225100541696
0.14,13.38835750280229
0.141,13.388632071498183
0.142,13.389047545140023
0.143,13.389602670377734
0.144,13.390296192410295
0.145,13.391126975648733
0.146,13.392093834605152
0.147,13.393195438620321
0.148,13.394430731591447
0.149,13.395798525328239
0.15,13.3972976279872
0.151,13.398927002788916
0.152,13.400685469954915
0.153,13.402571909775485
0.154,13.404585239555562
0.155,13.4067243516383
0.156,13.408988132624007
0.157,13.411375762310467
0.158,13.413885820684314
0.159,13.41651756095856
0.16,13.41926987969676
0.161,13.422141688293156
0.162,13.425132036562605
0.163,13.428239905067207
0.164,13.431464356462428
0.165,13.434804413017034
0.166,13.438259070316706
0.167,13.441827388803159
0.168,13.445508512802537
0.169,13.44930133496019
0.17,13.453205160026265
0.171,13.457218896695249
0.172,13.461341718031685
0.173,13.465572725452871
0.174,13.469911025900608
0.175,13.474355781085135
0.176,13.478906071799564
0.177,13.483561075723001
0.178,13.488319936658481
0.179,13.493181829078601
0.18,13.498145909710122
0.181,13.503211368065113
0.182,13.508377394826429
0.183,13.513643215799757
0.184,13.519008076244614
0.185,13.524471019904581
0.186,13.530031435065972
0.187,13.535688428794337
0.188,13.54144135341669
0.189,13.547289370131235
0.19,13.553231831968361
0.191,13.559267916345455
0.192,13.5653968969375
0.193,13.571618080629468
0.194,13.577930739568961
0.195,13.584334185423913
0.196,13.590827662262136
0.197,13.597410516403734
0.198,13.604082006867891
0.199,13.610841579729215
0.2,13.617688437052529
0.201,13.624621954132643
0.202,13.631641470710846
0.203,13.638746313665418
0.204,13.645935898557518
0.205,13.653209477892212
0.206,13.660566526193932
0.207,13.668006368047863
0.208,13.675528355859761
0.209,13.683131911772037
0.21,13.690816410933802
0.211,13.698581238929258
0.212,13.706425844069777
0.213,13.714349577632296
0.214,13.722351870777644
0.215,13.730432112754027
0.216,13.738589826587322
0.217,13.746824313637951
0.218,13.755135141154497
0.219,13.763521612231159
0.22,13.771983266714534
0.221,13.78051955102999
0.222,13.789129891729008
0.223,13.797813744223275
0.224,13.80657061852402
0.225,13.815399977008347
0.226,13.824301236751028
0.227,13.833273944464752
0.228,13.842317565545237
0.229,13.851431594168389
0.23,13.860615484648365
0.231,13.869868820416155
0.232,13.879191092360912
0.233,13.888581746085165
0.234,13.89804032731991
0.235,13.907566386070297
0.236,13.917159483642763
0.237,13.92681896367659
0.238,13.936544573347174
0.239,13.946335774087611
0.24,13.956192046164492
0.241,13.966112992018942
0.242,13.97609812979334
0.243,13.986147059572634
0.244,13.99625931518825
0.245,14.00643445849791
0.246,14.016672036990688
0.247,14.026971660694239
0.248,14.037332912741311
0.249,14.047755302643072
0.25,14.058238432520735
0.251,14.06878191968128
0.252,14.07938533659061
0.253,14.090048276593173
0.254,14.100770334792273
0.255,14.111551110881834
0.256,14.122390208123418
0.257,14.133287232978063
0.258,14.14424179569774
0.259,14.155253510164995
0.26,14.166321993474574
0.261,14.177446866090104
0.262,14.188627751803676
0.263,14.19986427759211
0.264,14.211156055597941
0.265,14.222502764436154
0.266,14.233903995184379
0.267,14.245359409996253
0.268,14.256868658218092
0.269,14.268431409616841
0.27,14.280047218133772
0.271,14.291715827866293
0.272,14.303436865563654
0.273,14.315209981525228
0.274,14.327034831181189
0.275,14.338911106216903
0.276,14.350838454881158
0.277,14.362816591343067
0.278,14.374845085092174
0.279,14.386923692518554
0.28,14.399052070240824
0.281,14.411229921005477
0.282,14.423456892725856
0.283,14.435732716891616
0.284,14.448057011598177
0.285,14.460429541612221
0.286,14.472849950996057
0.287,14.485317951538443
0.288,14.49783325148082
0.289,14.510395551631657
0.29,14.523004557929218
0.291,14.535659957113593
0.292,14.548361473968917
0.293,14.561108813044616
0.294,14.57390166352271
0.295,14.586739787295246
0.296,14.59962289674266
0.297,14.61255072996566
0.298,14.625522942395119
0.299,14.638539307821915
0.3,14.65159955797887
0.301,14.664703410014916
0.302,14.677850566901778
0.303,14.691040829510925
0.304,14.704273857235975
0.305,14.71754945802997
0.306,14.730867309917127
0.307,14.74422720681843
0.308,14.757628872446524
0.309,14.771072057689842
0.31,14.784556508815871
0.311,14.798081976761479
0.312,14.81164821377468
0.313,14.825254977542516
0.314,14.838902024345145
0.315,14.852589088280673
0.316,14.86631596955153
0.317,14.880082412298949
0.318,14.89388818324438
0.319,14.907733066984736
0.32,14.92161680530673
0.321,14.935539155270748
0.322,14.94949991049569
0.323,14.963498856466325
0.324,14.977535746752661
0.325,14.991610373092078
0.326,15.005722483115095
0.327,15.019871902141443
0.328,15.03405839035078
0.329,15.048281736605372
0.33,15.062541714129104
0.331,15.076838122012992
0.332,15.091170742057464
0.333,15.105539369747968
0.334,15.119943803596094
0.335,15.134383832936404
0.336,15.14885923594225
0.337,15.163369854000496
0.338,15.177915420528274
0.339,15.192495780380094
0.34,15.207110725705249
0.341,15.221760048876064
0.342,15.236443576675974
0.343,15.25116109675525
0.344,15.265912424952784
0.345,15.280697360042495
0.346,15.29551571452877
0.347,15.310367328978614
0.348,15.325251973202832
0.349,15.340169479524096
0.35,15.355119671603525
0.351,15.370102340922527
0.352,15.385117344570233
0.353,15.400164478757533
0.354,15.415243568812478
0.355,15.430354441555298
0.356,15.44549690123167
0.357,15.460670805114582
0.358,15.47587595359821
0.359,15.491112206412279
0.36,15.506379358619144
0.361,15.521677231432106
0.362,15.537005687505001
0.363,15.552364565166396
0.364,15.567753673080713
0.365,15.583172849458832
0.366,15.598621950781817
0.367,15.614100797502354
0.368,15.629609196456927
0.369,15.645147093251378
0.37,15.660714215378949
0.371,15.67631046668333
0.372,15.691935659491257
0.373,15.707589659476913
0.374,15.723272300480204
0.375,15.738983432229206
0.376,15.754722896007962
0.377,15.770490557307621
0.378,15.786286257516531
0.379,15.802109846142486
0.38,15.817961175348902
0.381,15.83384009934397
0.382,15.849746472356289
0.383,15.86568016564942
0.384,15.881640999791777
0.385,15.897628847411003
0.386,15.913643583288582
0.387,15.929685054220357
0.388,15.945753115918585
0.389,15.961847643857581
0.39,15.977968520782001
0.391,15.994115509250218
0.392,16.010288575590195
0.393,16.026487555218164
0.394,16.042712355369602
0.395,16.05896275923289
0.396,16.075238641689523
0.397,16.09153993064957
0.398,16.107866522287225
0.399,16.124218195993752
0.4,16.14059481236919
0.401,16.156996406690553
0.402,16.17342260923558
0.403,16.18987348468458
0.404,16.20634885464896
0.405,16.22284858722822
0.406,16.23937255497876
0.407,16.255920637935628
0.408,16.272492728188773
0.409,16.289088688241257
0.41,16.30570840159426
0.411,16.32235174781043
0.412,16.339018612334748
0.413,16.355708896685357
0.414,16.37242247501764
0.415,16.389159163564347
0.416,16.405918934219635
0.417,16.42270164258487
0.418,16.439507174593192
0.419,16.456335419269962
0.42,16.473186268225124
0.421,16.490059587519482
0.422,16.506955310211353
0.423,16.523873266951203
0.424,16.5408133962187
0.425,16.557775569601187
0.426,16.57475969047164
0.427,16.591765643535922
0.428,16.60879332389612
0.429,16.625842625840573
0.43,16.64291344608675
0.431,16.660005677172258
0.432,16.67711921721927
0.433,16.6942539633067
0.434,16.711409813145156
0.435,16.728586665052614
0.436,16.745784408468197
0.437,16.76300295937086
0.438,16.78024221938223
0.439,16.797502075099978
0.44,16.814782438028452
0.441,16.832083195220047
0.442,16.849404276208734
0.443,16.866745580252214
0.444,16.884106971738774
0.445,16.901488385682278
0.446,16.918889755706605
0.447,16.936310950018935
0.448,16.953751876206375
0.449,16.971212449104353
0.45,16.988692576546917
0.451,17.006192166907155
0.452,17.023711030649974
0.453,17.0412493918909
0.454,17.05880679899298
0.455,17.076383337733436
0.456,17.093978888690728
0.457,17.111593366830505
0.458,17.129226681063127
0.459,17.14687874584535
0.46,17.1645494746385
0.461,17.182238729068597
0.462,17.19994657339233
0.463,17.217672769658613
0.464,17.23541724544827
0.465,17.253179993882448
0.466,17.270961011583292
0.467,17.288760004564732
0.468,17.3065770026937
0.469,17.324411890692712
0.47,17.34226461459995
0.471,17.36013508530613
0.472,17.378023222507416
0.473,17.395928955807836
0.474,17.41385219340063
0.475,17.431792858070633
0.476,17.449750868805577
0.477,17.467726151863058
0.478,17.485718629852776
0.479,17.50372822585377
0.48,17.52175483029655
0.481,17.539798452989743
0.482,17.557858972721796
0.483,17.575936276600896
0.484,17.594030312733345
0.485,17.61214100718629
0.486,17.630268332921975
0.487,17.648412126674543
0.488,17.666572381070385
0.489,17.684749063315863
0.49,17.70294200397713
0.491,17.721151187725194
0.492,17.739376535963657
0.493,17.757617949514582
0.494,17.77587539505105
0.495,17.79414879951099
0.496,17.81243806103154
0.497,17.830743157951556
0.498,17.84906397011482
0.499,17.86740049602575
0.5,17.8857526209329
0.501,17.904120223793818
0.502,17.922503351108016
0.503,17.9409018709162
0.504,17.95931572965993
0.505,17.977744863165437
0.506,17.9961891982061
0.507,18.01464869087469
0.508,18.033123253920817
0.509,18.051612830857714
0.51,18.070117344719367
0.511,18.08863676984606
0.512,18.10717100403731
0.513,18.125719987813326
0.514,18.144283686917266
0.515,18.162862022148467
0.516,18.1814549271228
0.517,18.20006234806448
0.518,18.218684219693564
0.519,18.23732046808551
0.52,18.255971055261835
0.521,18.274635942563414
0.522,18.293315024984917
0.523,18.31200824570291
0.524,18.330715572572803
0.525,18.349436940478235
0.526,18.368172265139588
0.527,18.386921487481345
0.528,18.405684588189267
0.529,18.424461503596834
0.53,18.44325216798127
0.531,18.462056567577722
0.532,18.48087455227995
0.533,18.49970613064575
0.534,18.518551203524378
0.535,18.537409770106137
0.536,18.556281625092677
0.537,18.57516695231528
0.538,18.5940655853896
0.539,18.612977616169
0.54,18.631902667537734
0.541,18.650840893268914
0.542,18.669792216599543
0.543,18.688756576783987
0.544,18.707733906963902
0.545,18.7267241802585
0.546,18.745727299788197
0.547,18.764743238571047
0.548,18.783772002000575
0.549,18.802813449174252
0.55,18.82186761146109
0.551,18.84093438362095
0.552,18.860013723941815
0.553,18.879105637396314
0.554,18.898209948503986
0.555,18.917326702899857
0.556,18.93645582376302
0.557,18.955597295660134
0.558,18.974751035364715
0.559,18.99391700488645
0.56,19.013095211064837
0.561,19.032285384714278
0.562,19.05148783540132
0.563,19.07070219722805
0.564,19.089928644348944
0.565,19.109166987114225
0.566,19.12841720850499
0.567,19.1476793039752
0.568,19.16695321427845
0.569,19.186238861261746
0.57,19.205536234193808
0.571,19.224845279642107
0.572,19.24416595674664
0.573,19.263498199574066
0.574,19.282841960449648
0.575,19.302197243617435
0.576,19.321563946407437
0.577,19.34094209751105
0.578,19.36033152493527
0.579,19.379732327126177
