Generation,nOC,nOB,nMMd,nMMr,total xMM
213.3485193621868,29.396112872382563,3.335305973784798,4.153828264188459,37.49773305218607,41.65156131637453
214.35079726651483,29.396906985614287,3.3352728296138974,4.153920443534921,37.49883848668216,41.65275893021708
215.35307517084283,29.39766149454392,3.3352413431458854,4.1540080054796675,37.49988864529254,41.65389665077221
216.35535307517085,29.39837805253481,3.3352114275108584,4.154091250700384,37.50088664315745,41.65497789385783
217.35763097949888,29.3990589970844,3.3351830039333956,4.154170333548029,37.50183485724415,41.65600519079218
218.3599088838269,29.39970617488575,3.3351559920101077,4.154245487806187,37.5027360029581,41.65698149076429
219.3621867881549,29.400321090766237,3.3351303275793915,4.154316895691802,37.503592231027554,41.65790912671935
220.36446469248293,29.400905296826636,3.335105945880813,4.154384736475953,37.504405694785085,41.65879043126104
221.36674259681095,29.401460397723902,3.335082779929467,4.154449195754369,37.50517862242217,41.65962781817654
222.36902050113898,29.401987464130222,3.3350607851615064,4.154510396621426,37.505912495162484,41.66042289178391
223.371298405467,29.402488369059665,3.335039883497685,4.154568555101282,37.506609909313056,41.661178464414334
224.373576309795,29.402964521859236,3.3350200170091533,4.154623828770623,37.50727278126363,41.661896610034255
225.37585421412302,29.40341703105733,3.3350011409152773,4.154676336836537,37.50790258292285,41.66257891975939
226.37813211845105,29.403846920231484,3.3349832053571924,4.154726241738543,37.50850106576802,41.66322730750657
227.38041002277907,29.40425490423901,3.3349661689966537,4.154773697154976,37.50906975468595,41.66384345184093
228.38268792710707,29.404643012672363,3.334949977574901,4.154818750533949,37.50961006516567,41.664428815699615
229.3849658314351,29.40501166652401,3.334934594343888,4.154861568836872,37.51012346763119,41.66498503646806
230.38724373576312,29.405362013759152,3.3349199768638296,4.15490225135116,37.51061130555378,41.66551355690494
231.38952164009115,29.405694902862802,3.3349060881438843,4.154940906138391,37.51107483163075,41.66601573776914
232.39179954441914,29.40601108957527,3.3348928959172315,4.154977625270621,37.511515130353246,41.666492755623864
233.39407744874717,29.406311394634198,3.3348803652411685,4.155012508141269,37.51193337502061,41.66694588316188
234.3963553530752,29.40659677373522,3.334868456224326,4.155045665565556,37.512330894995564,41.667376560561124
235.39863325740322,29.406868205254305,3.3348571369076194,4.155077156286333,37.512708641519595,41.66778579780593
236.40091116173122,29.407125997716367,3.3348463831355764,4.15510708565517,37.51306756490648,41.668174650561646
237.40318906605924,29.407370916855516,3.3348361656987886,4.155135525539837,37.51340860359212,41.66854412913196
238.40546697038727,29.407603641860504,3.3348264574489135,4.155162547345447,37.51373264732722,41.668895194672665
239.4077448747153,29.407824743810014,3.3348172340287294,4.155188220558845,37.514040515002165,41.669228735561006
240.4100227790433,29.408034781410713,3.334808472329914,4.155212608721795,37.51433297451946,41.66954558324126
241.4123006833713,29.408234380141707,3.3348001464116126,4.155235783405032,37.514610888812314,41.669846672217346
242.41457858769934,29.408424066903002,3.334792234796298,4.15525780260148,37.514874967605245,41.67013277020673
243.41685649202736,29.408604337200078,3.3347847174239407,4.155278720004191,37.515125872012014,41.670404592016205
244.41913439635536,29.408775582831858,3.3347775746175174,4.155298601607458,37.515364301110715,41.67066290271817
245.4214123006834,29.408938135174076,3.3347707894992142,4.155317504695311,37.515590857183014,41.670908361878325
246.4236902050114,29.409092753323936,3.3347643409601875,4.155335452164281,37.51580610841024,41.67114156057452
247.42596810933944,29.40923961807788,3.334758214266988,4.155352509366351,37.51601063878075,41.6713631481471
248.42824601366743,29.40937918948149,3.334752392462843,4.1553687158802655,37.51620498518039,41.67157370106065
249.43052391799546,29.40951180473349,3.334746860875961,4.155384114561945,37.5163896448398,41.671773759401745
250.43280182232348,29.409637760825216,3.33474160678991,4.155398741889489,37.516565046206466,41.67196378809596
251.4350797266515,29.40975737517881,3.334736616564497,4.1554126371550355,37.516731649485024,41.67214428664006
252.43735763097953,29.409871016789154,3.3347318745206693,4.155425844938494,37.51688998143968,41.672315826378174
253.43963553530753,29.409979111387827,3.334727366358719,4.155438393285085,37.517040474639636,41.672478867924724
254.44191343963556,29.41008190746527,3.334723082168265,4.155450308224694,37.51718345393537,41.67263376216006
255.44419134396358,29.41017954163136,3.3347190120567936,4.155461631500505,37.51731930339913,41.672780934899635
256.4464692482916,29.410272223334513,3.33471514574936,4.155472396914176,37.51744838568425,41.672920782598425
257.4487471526196,29.41036027077894,3.3347114723917732,4.155482626460398,37.51757103184801,41.673053658308405
258.4510250569476,29.410443923342687,3.334707982320448,4.15549234593589,37.517687560229206,41.673179906165096
259.45330296127565,29.410523423221242,3.3347046660079074,4.1555015798989565,37.517798281363355,41.67329986126231
260.4555808656037,29.410598971390485,3.3347015149149897,4.155510352639177,37.51790348223123,41.67341383487041
261.4578587699317,29.410670730861366,3.334698521807102,4.155518685765123,37.518003409890134,41.67352209565526
262.46013667425973,29.410738924727376,3.334695677628311,4.155526603627023,37.518098363334076,41.6736249669611
263.46241457858775,29.410803716974325,3.334692975414462,4.155534126026187,37.51818857659352,41.67372270261971
264.4646924829158,29.4108652698169,3.3346904082688495,4.15554127259816,37.5182742815317,41.67381555412986
265.46697038724375,29.410923767798334,3.334687968496099,4.155548064749148,37.51835573494382,41.673903799692965
266.4692482915718,29.41097933113364,3.3346856511306204,4.155554516136408,37.51843310196403,41.67398761810043
267.4715261958998,29.41103213857691,3.334683448660097,4.155560647855336,37.518506634034026,41.674067281889364
268.4738041002278,29.411082304590153,3.334681356358554,4.1555664728972035,37.5185764882922,41.6741429611894
269.4760820045558,29.411129975112857,3.334679368137779,4.155572008209124,37.518642867958604,41.67421487616773
270.4783599088838,29.411175274179406,3.334677478823667,4.1555772681939205,37.518705945746845,41.67428321394077
271.48063781321184,29.411218300365288,3.334675684295548,4.155582264352579,37.518765859328404,41.674348123680986
272.48291571753987,29.41125919281562,3.334673978765202,4.155587012741685,37.51882280170215,41.674409814443834
273.4851936218679,29.41129806053448,3.3346723577078015,4.155591525882438,37.51887692363241,41.67446844951485
274.4874715261959,29.4113350053947,3.334670816883366,4.155595815546052,37.51892836653855,41.6745241820846
275.48974943052394,29.411370133376074,3.334669351775632,4.155599894625935,37.51897728239084,41.67457717701678
276.49202733485197,29.411403521149,3.334667959260548,4.15560377157081,37.51902377455081,41.67462754612162
277.49430523918,29.41143524335031,3.3346666362443784,4.155607454928639,37.51906794605981,41.67467540098845
