Key,Value
0.0,42.95007055000802
0.001,42.7480291258923
0.002,42.54921744735175
0.003,42.353577999767765
0.004,42.161053708362495
0.005,41.97159249632534
0.006,41.78513770875653
0.007,41.60163833182656
0.008,41.42104308437497
0.009,41.24330166833336
0.01,41.06836525729093
0.011,40.89618621645075
0.012,40.726717732338464
0.013,40.55991468036875
0.014,40.395730467360224
0.015,40.234123197882006
0.016,40.07504932079214
0.017,39.918467322530645
0.018,39.76433608873994
0.019,39.612615691367225
0.02,39.46326657507442
0.021,39.3162505679014
0.022,39.17153059173667
0.023,39.02906849254431
0.024,38.88882925620683
0.025,38.750777485771046
0.026,38.61487890399704
0.027,38.48109899878486
0.028,38.349404991446576
0.029,38.219764548462464
0.03,38.09214563704589
0.031,37.96651739151326
0.032,37.84284860214076
0.033,37.72111024866536
0.034,37.60127239398132
0.035,37.48330633963635
0.036,37.367184013975866
0.037,37.25287774689396
0.038,37.14036086683704
0.039,37.02960533796645
0.04,36.920587389860216
0.041,36.81327897852417
0.042,36.70765672533171
0.043,36.60369559761679
0.044,36.501371476886895
0.045,36.400660363799986
0.046,36.30153996074026
0.047,36.20398618160866
0.048,36.10797743337077
0.049,36.01349191864395
0.05,35.92050767099029
0.051,35.82900313920926
0.052,35.738958414433775
0.053,35.65035303852677
0.054,35.56316645988666
0.055,35.47737936167371
0.056,35.392972318514985
0.057,35.30992634099319
0.058,35.228223111039114
0.059,35.14784371209268
0.06,35.0687709230544
0.061,34.99098655304373
0.062,34.91447350224632
0.063,34.83921450199827
0.064,34.76519331942487
0.065,34.692392846774425
0.066,34.62079739703626
0.067,34.550390738582244
0.068,34.48115777029511
0.069,34.413082208372785
0.07,34.34614968011044
0.071,34.28034551974157
0.072,34.21565460796579
0.073,34.15206273917785
0.074,34.08955586096246
0.075,34.02811996785591
0.076,33.96774164798633
0.077,33.90840744612939
0.078,33.85010404056222
0.079,33.79281849228016
0.08,33.73653830713459
0.081,33.681250317355634
0.082,33.62694262276775
0.083,33.57360277642641
0.084,33.52121897088091
0.085,33.46977962814657
0.086,33.41927273176164
0.087,33.36968736291421
0.088,33.3210118916559
0.089,33.273235458630325
0.09,33.22634709991056
0.091,33.18033616523785
0.092,33.13519232026795
0.093,33.090904734399444
0.094,33.047463581963015
0.095,33.004858825940005
0.096,32.96308037233263
0.097,32.92211831284747
0.098,32.881963394546254
0.099,32.84260602329633
0.1,32.804036787740934
0.101,32.76624675958825
0.102,32.72922667994264
0.103,32.69296778359821
0.104,32.65746134635621
0.105,32.62269856594395
0.106,32.588671044479526
0.107,32.55537030967851
0.108,32.52278820722948
0.109,32.49091655721712
0.11,32.4597474041767
0.111,32.429272818920666
0.112,32.399484934111925
0.113,32.37037615596639
0.114,32.34193894230398
0.115,32.314165757829265
0.116,32.28704937777114
0.117,32.26058241608262
0.118,32.234757814878066
0.119,32.209568576359565
0.12,32.185007714214564
0.121,32.16106840617096
0.122,32.13774390846359
0.123,32.115027580065174
0.124,32.09291281114538
0.125,32.07139323113999
0.126,32.0504624246
0.127,32.03011403652282
0.128,32.01034196627975
0.129,31.991140043007125
0.13,31.972502285194356
0.131,31.954422722222404
0.132,31.936895488353876
0.133,31.919914798344266
0.134,31.903474943014743
0.135,31.887570316876946
0.136,31.872195309481476
0.137,31.857344477522812
0.138,31.843012413555105
0.139,31.829193764441722
0.14,31.815883284849555
0.141,31.803075771528647
0.142,31.790766124898283
0.143,31.77894924354264
0.144,31.76762017775247
0.145,31.756774003358295
0.146,31.746405766262697
0.147,31.736510823493354
0.148,31.727084321579717
0.149,31.718121632756727
0.15,31.709618115055036
0.151,31.701569169185987
0.152,31.693970414403903
0.153,31.686817362297923
0.154,31.680105619855144
0.155,31.67383093760602
0.156,31.66798883690968
0.157,31.66257531238352
0.158,31.657586124030964
0.159,31.65301715180288
0.16,31.648864320804453
0.161,31.645123664591274
0.162,31.641791205709694
0.163,31.63886303480654
0.164,31.636335288967956
0.165,31.634204154495226
0.166,31.632465883832978
0.167,31.631116763770496
0.168,31.63015300144135
0.169,31.62957110091541
0.17,31.629367403936868
0.171,31.62953853014452
0.172,31.63008075255712
0.173,31.630990646268877
0.174,31.632264932858213
0.175,31.633900165058147
0.176,31.635893014041272
0.177,31.63824018550772
0.178,31.640938453797
0.179,31.643984576663083
0.18,31.64737531983794
0.181,31.651107697454208
0.182,31.655178385683527
0.183,31.65958449133612
0.184,31.66432295766336
0.185,31.669390772692537
0.186,31.674784974929494
0.187,31.680502637464347
0.188,31.686540871126656
0.189,31.692896821871813
0.19,31.699567665370772
0.191,31.706550610964893
0.192,31.713842898703007
0.193,31.721441800662966
0.194,31.72934461830974
0.195,31.737548687555254
0.196,31.74605137353103
0.197,31.754850086461445
0.198,31.76394221850923
0.199,31.77332523863683
0.2,31.782996630442007
0.201,31.792953976779145
0.202,31.803194540132402
0.203,31.81371621789544
0.204,31.824516434390752
0.205,31.835592968874593
