Key,Value
0.0,72.6281708585149
0.001,73.31587879163507
0.002,73.08448460619243
0.003,72.85379964713809
0.004,72.62382030700451
0.005,72.3945480603367
0.006,72.16598059790931
0.007,71.93811576436339
0.008,71.7109524745608
0.009,71.48448975522632
0.01,71.25872553865926
0.011,71.03365867452341
0.012,70.80928777105913
0.013,70.58561158488048
0.014,70.36262877231282
0.015,70.14033659323435
0.016,69.91873589743854
0.017,69.6978242532312
0.018,69.47760028644916
0.019,69.25806262131856
0.02,69.03920988587339
0.021,68.82104071203067
0.022,68.60355373572578
0.023,68.38674815701751
0.024,68.17062150705665
0.025,67.95517262132327
0.026,67.7404008737345
0.027,67.5263045530225
0.028,67.31288233264591
0.029,67.10013327899847
0.03,66.88805461679215
0.031,66.6766469892048
0.032,66.4659077173848
0.033,66.25583586616004
0.034,66.04642981894725
0.035,65.83768885105917
0.036,65.62961134707646
0.037,65.42219599580596
0.038,65.21544155628473
0.039,65.00934668497945
0.04,64.8039100765735
0.041,64.59913029024827
0.042,64.39500622251389
0.043,64.19153642397745
0.044,63.98871969073122
0.045,63.78655480196092
0.046,63.58504043101618
0.047,63.384175304160415
0.048,63.183958284854256
0.049,62.98438770099841
0.05,62.7854620893261
0.051,62.58718187729892
0.052,62.3895445045521
0.053,62.192548109217554
0.054,61.99619228403866
0.055,61.80047563278617
0.056,61.60539612171889
0.057,61.410954104642585
0.058,61.217147550188834
0.059,61.02397522251097
0.06,60.831435895041366
0.061,60.63952834678986
0.062,60.44825135698146
0.063,60.25760370788797
0.064,60.06758418408318
0.065,59.87819231501036
0.066,59.68942546882595
0.067,59.50128312364192
0.068,59.31376410827209
0.069,59.12686723517331
0.07,58.940591360897855
0.071,58.75493522206702
0.072,58.569897652567825
0.073,58.385477467708235
0.074,58.20167350384152
0.075,58.01848458905794
0.076,57.83590955886233
0.077,57.653947249455165
0.078,57.47259650103667
0.079,57.29185615490458
0.08,57.11172506281361
0.081,56.93220207533648
0.082,56.75328604821665
0.083,56.57497562941436
0.084,56.39727027769279
0.085,56.220168383932894
0.086,56.043669080805074
0.087,55.86777080441014
0.088,55.69247271954724
0.089,55.51777368522758
0.09,55.34367249925697
0.091,55.170167471034894
0.092,54.997259181784614
0.093,54.82494528885882
0.094,54.6532249228081
0.095,54.48209698945326
0.096,54.311560397982554
0.097,54.14161406496094
0.098,53.97225690396845
0.099,53.80348783747649
0.1,53.63530578694432
0.101,53.467709683819976
0.102,53.30069846289953
0.103,53.134271061095966
0.104,52.968426415711086
0.105,52.80316358173123
0.106,52.638481288284765
0.107,52.47437859867824
0.108,52.310854468944164
0.109,52.147907859387104
0.11,51.98553773428674
0.111,51.82374306188604
0.112,51.662522814388545
0.113,51.501875967989506
0.114,51.341801503691
0.115,51.18229840492863
0.116,51.023365659931066
0.117,50.865002429074934
0.118,50.707207377623114
0.119,50.549979674458314
0.12,50.39331832160159
0.121,50.23722232627568
0.122,50.081690704590756
0.123,49.92672247070084
0.124,49.77231664334782
0.125,49.61847224551548
0.126,49.46518830426541
0.127,49.31246385112082
0.128,49.16029792065458
0.129,49.00868955210226
0.13,48.8576372437169
0.131,48.7071413376794
0.132,48.557200288028554
0.133,48.407812419455794
0.134,48.25897743666117
0.135,48.11069444341812
0.136,47.962962677722786
0.137,47.81578060297416
0.138,47.66914784680301
0.139,47.52306308827155
0.14,47.37752578999595
0.141,47.23253546245242
0.142,47.088089962917486
0.143,46.94418910648323
0.144,46.80083125869515
0.145,46.65801689362607
0.146,46.51574439125916
0.147,46.37401290034098
0.148,46.23282154041111
0.149,46.09216943823267
0.15,45.952055728412084
0.151,45.81247952707742
0.152,45.673439953563026
0.153,45.53493613043689
0.154,45.39696721101602
0.155,45.25953256561828
0.156,45.12263212687387
0.157,44.98626301360826
0.158,44.8504242931573
0.159,44.71511749363758
0.16,44.58034083058466
0.161,44.446093008288834
0.162,44.31237344601723
0.163,44.17918133020992
0.164,44.04651585081322
0.165,43.91437632398331
