W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,9.776962958878343,2.223031661570241,3.000001203442598,210.0974280035707
0.21000000000000002,9.776962958878343,2.223031661570241,3.000001203442598,209.24854789790507
0.22,9.776962958878343,2.223031661570241,3.000001203442598,208.42190185925682
0.23,13.000014458982479,1.9999842718349892,3.143490118707951,194.30117175943494
0.24000000000000002,13.000014458982479,1.9999842718349892,3.143490118707951,194.30117175943494
0.25,14.00001166428876,1.062269361773509,3.000003020557675,184.55999726512815
0.26,14.00001166428876,1.062269361773509,3.000003020557675,184.55999726512815
0.27,14.00001166428876,1.062269361773509,3.000003020557675,184.55999726512815
0.28,14.00001166428876,1.062269361773509,3.000003020557675,184.55999726512815
0.29000000000000004,14.00001166428876,1.062269361773509,3.000003020557675,184.55999726512815
0.30000000000000004,13.000045663034255,1.0472920928811003,3.001094830221687,183.62436850346722
0.31,13.000045663034255,1.0472920928811003,3.001094830221687,183.62436850346722
0.32,13.279316013573833,1.0000000002566631,3.1087375833248534,185.04787516364618
0.33,12.456911461401068,1.000000000484545,3.1055593603301714,185.05719802488238
0.34,13.000132674448963,1.0000171327138028,3.12269092816614,185.11615701741678
0.35,12.41077999280307,1.1027056479610664,3.0000000002993197,183.57957129113464
0.36,12.423138286250303,1.000000000473722,3.0994192784310606,184.97731587707335
0.37,12.410811139150962,1.0041909169711825,3.000000000049985,183.57957128754148
0.38,13.000313694138836,1.877031926878828,3.0000002371627543,183.61214142734303
0.39,12.744649582551578,1.0000000018497195,3.1648013008702787,185.85831441829913
