Generation,WOC,WOB,WMM,W_average
0,0.5760561031985448,0.5928954035833686,0.6858174620748788,0.6562569144889433
1,0.5584409753445506,0.5738409871411467,0.6517476415086222,0.6299601918144503
2,0.537273454402609,0.5513603938280713,0.6173871712096854,0.6009101872410395
3,0.5148284650640275,0.5277535727601457,0.5842998485186733,0.5715384976029322
4,0.4925129516368248,0.5044251037913627,0.5533496900249952,0.543247685946566
5,0.4711019674991762,0.48213557095865706,0.5248858906003212,0.5167288938402108
6,0.45096557656064673,0.46123693831601326,0.4989435089314561,0.4922386711656236
7,0.4322349483850625,0.4418426737885807,0.47539188895184664,0.4697924642984656
8,0.414909510619354,0.4239364856451905,0.45402711387204814,0.4492844574716902
9,0.39892165495698684,0.40743743105534574,0.43462416622868716,0.4305566727031164
10,0.3841734555682319,0.39223651209244553,0.4169631483597227,0.41343584749186196
11,0.3705572438386328,0.37821695821214674,0.4008415736822496,0.39775249634535736
12,0.3579663451399809,0.36526463306382656,0.38607864818373233,0.38334957098598327
13,0.34630040036409104,0.35327305436411727,0.37251568431821164,0.3700857427111368
14,0.33546755751822316,0.3421453270080877,0.36001457445476154,0.3578357868036172
15,0.3253851073114262,0.33179456881512137,0.34845564072385854,0.34648972187017635
16,0.31597925588504805,0.3221435143547204,0.3377353082555534,0.33595136801915476
17,0.3071844823321355,0.3131237377233907,0.3277638755442305,0.326136733423121
18,0.29894276219424326,0.3046747696419267,0.31846353649387904,0.3169724709812426
19,0.29120273223351184,0.2967431771439944,0.3097666244971158,0.3083944338298486
20,0.28391889261409214,0.28928169803713266,0.3016141071400813,0.3003463957275779
21,0.2770508970859472,0.28224847742673465,0.29395433121863335,0.29277896136306686
22,0.2705629024300984,0.27560637374414626,0.28674194541622405,0.2856486119227852
23,0.2644230007217195,0.2693223560916141,0.27993699812466555,0.2789168950415839
24,0.2586027221586538,0.26336697871489373,0.2735041757092075,0.27254973291941065
25,0.253076592899601,0.25771391549254713,0.26741214873011515,0.2665168221061863
26,0.2478218074954192,0.2523396143964297,0.2616330802460522,0.26079118262990064
27,0.24281783990397432,0.24722289146311063,0.25614209414287126,0.2553486591649721
28,0.23804620452649666,0.24234467975539617,0.2509169298849713,0.2501676006211865
29,0.23349021227674066,0.2376877745987021,0.24593760819335816,0.24522854584831558
30,0.2291347490280966,0.23323660275219377,0.24118613441276618,0.24051394304412155
31,0.22496610242416482,0.2289770418144449,0.23664626509589004,0.23600792905088322
32,0.2209718054009671,0.22489625737065502,0.23230330101193436,0.23169613268667918
33,0.21714049575285568,0.2209825570677411,0.22814390425059433,0.2275655002699053
34,0.21346179556431558,0.21722526541097775,0.22415594227139635,0.22360414653529634
35,0.20992620270864695,0.21361461123962064,0.22032834939336424,0.21980122178733236
36,0.2065250202542458,0.21014165417116953,0.21665103280720394,0.21614682243323877
37,0.20325025229193694,0.20679817703408993,0.21311474515785062,0.21263186759886035
38,0.20009453730967647,0.2035766168119689,0.2097110001609809,0.20924801794040404
39,0.19705109102889248,0.20047000540197765,0.20643200035661993,0.2059876060708404
40,0.1941136475046577,0.19747190874358436,0.2032705646202077,0.2028435663718853
41,0.19127641247019878,0.19457637855074297,0.20022007022605703,0.19980937897006604
42,0.18853401658390284,0.19177790404471834,0.19727439595235274,0.19687901449445347
43,0.18588147944195757,0.18907137474650548,0.19442787771631254,0.1940468910891573
44,0.18331417218927384,0.18645204191157486,0.19167526351654712,0.19130783056140116
45,0.18082778871761246,0.18391548877898192,0.18901167827519624,0.1886570242337212
46,0.17841831612441103,0.18145760011851278,0.18643258847180186,0.186089998466399
47,0.17608201109926266,0.17907453786373698,0.18393377362393737,0.18360258689125095
48,0.1738153760227549,0.17676271649015743,0.18151129788810438,0.18119090267744098
49,0.17161513669506456,0.17451878008767868,0.17916148377768798,0.17885131283003883
