Generations no drug,Generations drug,MM fraction
14,13,0.30714868157090214
14,14,0.3021303168700327
14,15,0.3005993366707016
14,16,0.3428898869380728
14,17,0.3861138080273773
14,18,0.38765270973467625
14,19,0.3877997123664974
14,20,0.3878045246564278
14,21,0.38780472937828125
15,2,0.4045336043590628
15,3,0.3918809934688081
15,4,0.38049119358460404
15,5,0.37009601724524854
15,6,0.3605702748097659
15,7,0.3518198923728074
15,8,0.34376375333598236
15,9,0.3363298462990421
15,10,0.3294540860945058
15,11,0.3230796323015602
15,12,0.31715588719809923
15,13,0.3116397824417548
15,14,0.3065128218868398
15,15,0.30226762500629933
15,16,0.31063514249484037
15,17,0.3788650920432316
15,18,0.3874215991534997
15,19,0.3877920539056767
15,20,0.38780432131621306
15,21,0.3878047161693329
16,2,0.40612191075073
16,3,0.39404314809594077
16,4,0.38310976073357467
16,5,0.3730819008899969
16,6,0.36385158111727
16,7,0.3553378361222437
16,8,0.34747006666790775
16,9,0.3401848040636417
16,10,0.33342496674035715
16,11,0.32713944443554666
16,12,0.3212826207011749
16,13,0.3158139877355838
16,14,0.3107010514875586
16,15,0.30599690977446364
16,16,0.3043611671140648
16,17,0.36031810844306766
16,18,0.3868238574062439
16,19,0.3877719482609718
16,20,0.3878038341859064
16,21,0.38370535196607225
17,2,0.407547781274718
17,3,0.395994549080327
17,4,0.3854846980833294
17,5,0.37580217267534816
17,6,0.36685334217313853
17,7,0.35856829191181677
17,8,0.35088540326325435
17,9,0.3437485983567813
17,10,0.33710689193900173
17,11,0.33091421952116545
17,12,0.3251291847402586
17,13,0.3197146950335729
17,14,0.31463821507996725
17,15,0.30956816539728305
17,16,0.30466955611166746
17,17,0.33416234023487795
17,18,0.3851921059756929
17,19,0.38771977589383655
17,20,0.3714089526939007
17,21,0.38256160334424827
18,2,0.4088348328864793
18,3,0.3977644419446762
18,4,0.3876483165644824
18,5,0.3782905523771761
18,6,0.36960958145426254
18,7,0.361544854737922
18,8,0.354042456039202
18,9,0.34705271808771776
18,10,0.3405300009788111
18,11,0.33443270401460057
18,12,0.32872316292987197
18,13,0.3233674181201985
18,14,0.3182894448898186
18,15,0.3134401394403085
18,16,0.3084849361261889
18,17,0.31375081058598325
18,18,0.380089778463726
18,19,0.3447058351178255
18,20,0.36694912867231233
18,21,0.3809958239294434
19,2,0.4100023333798199
19,3,0.399376926948181
19,4,0.38962749024627685
19,5,0.3805753255916491
19,6,0.3721490636135293
19,7,0.36429613315246734
19,8,0.35696925155842235
19,9,0.3501243326986044
19,10,0.3437204373609744
19,11,0.33771992209786783
19,12,0.3320884525852366
19,13,0.32678738179508976
19,14,0.321787937088304
19,15,0.31703134385229115
19,16,0.312316622557418
19,17,0.3076071084229736
19,18,0.31606713528019514
19,19,0.3395570564527835
19,20,0.36211507036084445
19,21,0.37885910040842596
20,2,0.4110661540591611
20,3,0.4008520368574364
20,4,0.39144474586420847
20,5,0.3826803860231206
20,6,0.3744962614710019
20,7,0.3668466289447841
20,8,0.35968994170605384
20,9,0.3529869889904159
20,10,0.3467009765918853
20,11,0.3407977801165533
20,12,0.3352447137136287
20,13,0.33001331524110405
20,14,0.3250733894232788
20,15,0.3203860792231098
20,16,0.3158396787709917
20,17,0.3143488297313189
20,18,0.3167695210138378
20,19,0.3344212827398306
20,20,0.357174106528508
20,21,0.37602235733333195
21,2,0.41203948427089776
21,3,0.40220655623135587
21,4,0.3931191019137221
21,5,0.38462604979358733
21,6,0.37667212047311943
21,7,0.36921744057770167
21,8,0.36222544208923024
21,9,0.35566118698960114
21,10,0.34949154570805246
21,11,0.3436852851755804
21,12,0.3382137773407311
21,13,0.3330500626939393
21,14,0.3281682138690887
21,15,0.32353883975780895
21,16,0.31929276342176627
21,17,0.31637841785288007
21,18,0.3181242870519428
21,19,0.3290003867021042
21,20,0.35228899694212173
21,21,0.37246928813294006
