"bOC,OC & bOB,OB",Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,period H,period A,MM fraction
0.1,(-3.4311348651858045+0j),(2.8436416353633325+0j),(0.3937466149112375+0.15661578300668352j),(0.3937466149112375-0.15661578300668352j),2,3,0.28296991516077336
0.30000000000000004,(-3.3468890284827633+0j),(2.9241334835730486+0j),(0.4625784438381632+0j),(0.5601771010715545+0j),2,4,0.28033193334713125
0.5,(-3.2662458712373756+0j),(3.008611577913875+0j),(0.4177812800469132+0j),(0.839853013276592+0j),4,10,0.27972641890616895
0.7,(-3.1891427401207433+0j),(3.0970765824738997+0j),(0.42638130264392043+0j),(1.065684855002929+0j),4,15,0.2759031079597374
0.9,(-3.115504527980838+0j),(3.1895038550530623+0j),(0.4439791357717244+0j),(1.2820215371560468+0j),3,21,0.2705100398192419
1.1,(-3.0452449967479907+0j),(3.2858434594445196+0j),(0.4648762948679895+0j),(1.4945252424354758+0j),2,21,0.2865755441126019
