"bOC,MMr",Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,period H,period A,MM fraction
1.7,(-3.2245524161810044+0j),(2.6361941855530313+0j),(0.44772518473426187+0j),(0.5406330458937143+0j),3,8,0.008459191998753742
1.8,(-3.255056147825678+0j),(2.676334759716333+0j),(0.4513215650882219+0j),(0.5273998230211209+0j),3,6,0.26109171234661893
1.9,(-3.2853019977289653+0j),(2.715715538766083+0j),(0.45623674580065515+0j),(0.5133497131622268+0j),3,5,0.2835853173433378
2.0,(-3.3152958399578925+0j),(2.7543836359059646+0j),(0.4645164053008532+0j),(0.49639579875107626+0j),3,4,0.2965628575923382
2.1,(-3.345043349331869+0j),(2.7923812472353884+0j),(0.47633105104824003+0.01566172414967225j),(0.47633105104824003-0.01566172414967225j),5,5,0.3111065962170694
