Generation,WOC,WOB,WMMd,WMMr,W_average
7,-0.3893330838192923,-0.23721228067428735,-0.3957981359002739,0.07793905585320093,-0.39085902519505106
8,-0.39162016732833604,-0.2360167646293253,-0.3951397493966776,0.08048603601214754,-0.3924477566566383
9,-0.3928634696449238,-0.23536686235529225,-0.39478184961228213,0.0818706303363268,-0.3933136001353034
10,-0.3935405781194282,-0.2350129260267746,-0.3945869507335167,0.08262470301158964,-0.3937857799198226
11,-0.3939096827448625,-0.23481999281159405,-0.394480727544696,0.08303579296905128,-0.3940433500697585
12,-0.39411096865596595,-0.23471478423555725,-0.3944228270991179,0.08326003056605358,-0.3941838432553424
13,-0.3942207184186245,-0.23465742542268753,-0.3943912945004865,0.08338239160950622,-0.39426042090126134
14,-0.39428048396272664,-0.23462619610047108,-0.3943741760263658,0.08344919036241905,-0.39430205871007423
15,-0.39431289984112283,-0.23460926452741027,-0.3943649686126156,0.08348569964308128,-0.3943245326773067
16,-0.39433025585033155,-0.23460020626474376,-0.3943601548767902,0.08350571369622362,-0.39433638462320003
17,-0.3943391836735607,-0.23459555419750588,-0.39435785862673833,0.083516793527741,-0.39434218138102567
18,-0.39434315368314077,-0.234593493154728,-0.3943571335776028,0.08352308921760998,-0.3943442421280452
19,-0.39434384976886006,-0.2345931408302575,-0.3943575808543123,0.08352694515754577,-0.3943435712224592
20,-0.3943418388107375,-0.23459419723053332,-0.39435917498682704,0.08352975029926557,-0.39434028752372846
21,-0.39433686228606546,-0.23459679119228594,-0.394362212600711,0.0835324454920503,-0.3943337614507489
22,-0.39432781792860727,-0.23460148822701044,-0.3943673715025464,0.08353580423248985,-0.3943224923164336
23,-0.39431260288689896,-0.23460936981483582,-0.39437583843204427,0.08354072062490947,-0.39430383002675745
24,-0.39428759820028536,-0.234622298209069,-0.3943896007004408,0.08354843758134756,-0.3942733222813061
25,-0.3942468286105809,-0.23464334841923262,-0.394411908022944,0.08356084374718153,-0.39422367783584317
26,-0.3941805416528861,-0.23467753898225008,-0.39444804681874934,0.08358093805386657,-0.39414302643480104
27,-0.3940728834094359,-0.23473302757086245,-0.3945065981500906,0.08361354181058167,-0.39401208863684556
28,-0.39389812153260306,-0.2348230540176437,-0.3946014772905472,0.08366643047886857,-0.39379958247699576
29,-0.3936144950316186,-0.2349691044043618,-0.394755248101735,0.08375213950249871,-0.3934547483822847
30,-0.3931543838199102,-0.23520596892457146,-0.3950044065428647,0.08389077231596476,-0.3928954054716021
31,-0.39240828060668764,-0.23558998954937493,-0.39540796097383757,0.08411438811345806,-0.39198848716408397
32,-0.3911993275528046,-0.23621216562982328,-0.39606097463023726,0.08447347690175411,-0.3905191418735985
33,-0.38924268842184373,-0.2372190716866709,-0.3971159475136624,0.08504602847010534,-0.38814151086873044
34,-0.3860821281128759,-0.2388455288958542,-0.39881561910554264,0.08594847269238759,-0.3843021542519493
35,-0.380993787259036,-0.24146422279559088,-0.40154130997792903,0.08734427751186136,-0.37812479789727965
