Generation,xOC,xOB,xMMd,xMMr,total_MM
0.0,0.3,0.2,0.2,0.3,0.5
0.5333333333333333,0.42021524799901294,0.1563884389448224,0.18908592947014458,0.23431038358601997,0.42339631305616454
1.0666666666666667,0.4987039630657697,0.12371688296553024,0.18841637770784994,0.18916277626084993,0.3775791539686999
1.6,0.5449152418259056,0.10005954356671594,0.19729701239638792,0.15772820221099032,0.35502521460737824
2.1333333333333333,0.5710668745742662,0.08204572496907794,0.21334708641110184,0.1335403140455538,0.34688740045665567
2.6666666666666665,0.5851700143873226,0.06748142215320246,0.23443647312690577,0.11291209033256892,0.3473485634594747
3.2,0.591906536703679,0.0552026294764173,0.25872036414005484,0.09417046967984873,0.35289083381990355
3.7333333333333334,0.5940289599374816,0.04465357258464543,0.28448072372416633,0.07683674375370644,0.36131746747787274
4.266666666666667,0.5932523275042036,0.03559251080824295,0.3101052512972517,0.06104991039030141,0.3711551616875531
4.8,0.5907386067595825,0.02791240408198969,0.334192432382432,0.04715655677599566,0.3813489891584277
5.333333333333333,0.5873296986647878,0.021537031664652522,0.3556959506727368,0.035437318997822785,0.39113326967055956
5.866666666666666,0.5836408259550545,0.016369776835132778,0.3740170210419207,0.025972376167891973,0.3999893972098127
6.4,0.5800938752702808,0.012279981167966572,0.3889965908082554,0.018629552753497036,0.4076261435617524
6.933333333333334,0.5769403125193967,0.009111952934814739,0.4008198550951615,0.013127879450627006,0.4139477345457885
7.466666666666667,0.5742932639875281,0.006702489378830681,0.4098822474894805,0.009121999144160748,0.4190042466336412
8.0,0.5721674905838003,0.004896971219759113,0.4166650223053327,0.0062705158911078975,0.4229355381964406
8.0,0.5721674905838003,0.004896971219759113,0.4166650223053327,0.0062705158911078975,0.4229355381964406
9.142857142857142,0.7145185193759621,0.004624733831908636,0.2750674296829042,0.00578931710922476,0.28085674679212896
10.285714285714285,0.7704464242333049,0.005833682278733251,0.21562261546431913,0.008097278023642192,0.2237198934879613
11.428571428571429,0.7936289342151973,0.008432894598536337,0.18420346464699466,0.013734706539271075,0.19793817118626575
12.571428571428571,0.799626531752197,0.012853086261340543,0.1621683452080091,0.02535203677845231,0.18752038198646143
13.714285714285714,0.7921666598055899,0.01946467655970258,0.14077253034709286,0.04759613328761271,0.18836866363470556
14.857142857142858,0.7713080575357278,0.027650337808161642,0.11515807879204032,0.08588352586406688,0.2010416046561072
16.0,0.7387334964109099,0.03479840129705639,0.08489037283969786,0.14157772945233058,0.22646810229202843
16.0,0.7387334964109099,0.03479840129705639,0.08489037283969786,0.14157772945233058,0.22646810229202843
17.142857142857142,0.6593957688048155,0.030679004263645455,0.15051859693717454,0.15940662999435765,0.3099252269315322
18.285714285714285,0.6273914801421573,0.022108390135826064,0.2152670893959227,0.1352330403260863,0.350500129722009
19.428571428571427,0.6112952894987989,0.014347097973700061,0.2789351597477817,0.09542245277971138,0.3743576125274931
20.57142857142857,0.598249901120524,0.00856975166466783,0.3357605671565685,0.05741978005823158,0.39318034721480005
21.714285714285715,0.5865832298082272,0.004762698547177614,0.37849187023610603,0.030162201408481793,0.40865407164458784
22.857142857142858,0.5777128508580407,0.002507190135257476,0.40542319057921994,0.014356768427475188,0.4197799590066951
24.0,0.5720958835231189,0.0012756021188962956,0.4201945824485503,0.006433931909428735,0.42662851435797905
24.0,0.5720958835231189,0.0012756021188962956,0.4201945824485503,0.006433931909428735,0.42662851435797905
25.142857142857142,0.7156339391292056,0.0012011041750249966,0.2772436455078644,0.005921311187896698,0.2831649566957611
26.285714285714285,0.7724842314368915,0.0015154018730690823,0.21770835688332366,0.008292009806702224,0.22600036669002588
27.428571428571427,0.7969235054228186,0.002196358047504023,0.1867480100759828,0.014132126453671089,0.2008801365296539
28.57142857142857,0.8047600557784071,0.0033647941781055598,0.16555542429102996,0.026319725752415694,0.19187515004344566
29.714285714285715,0.799630945072128,0.005132215625280634,0.14513895136613425,0.05009788793638354,0.19523683930251778
30.857142857142858,0.7807390935071751,0.007333915355805892,0.11997437377941021,0.09195261735748453,0.21192699113689473
32.0,0.7482068515085799,0.009201686390790637,0.08883516476338105,0.15375629733705495,0.242591462100436
32.0,0.7482068515085799,0.009201686390790637,0.08883516476338105,0.15375629733705495,0.242591462100436
33.142857142857146,0.6638026062557979,0.007892677185780572,0.15684846773368627,0.17145624882450353,0.3283047165581898
34.285714285714285,0.6298379307850253,0.0055242768423151185,0.22178266238383043,0.1428551299885783,0.36463779237240873
35.42857142857143,0.6126696871051791,0.0035074442154708835,0.2846680934695938,0.09915477520949961,0.38382286867909343
36.57142857142857,0.5988541607226523,0.0020636877053922136,0.34021045145539264,0.05887170011631311,0.39908215157170573
37.714285714285715,0.5867349098909217,0.0011356762418790868,0.38150922816701915,0.030620185699947684,0.41212941386696683
38.857142857142854,0.5776855088389711,0.0005942909173977934,0.40723972838471306,0.014480471858708575,0.42172020024342166
40.0,0.5720340675625639,0.000301348475248858,0.4211999801392449,0.0064646038227569366,0.42766458396200185
40.0,0.5720340675625639,0.000301348475248858,0.4211999801392449,0.0064646038227569366,0.42766458396200185
41.142857142857146,0.7159180799357813,0.0002835007207956515,0.27785473212232015,0.005943687220839898,0.28379841934316
42.285714285714285,0.7730283264775604,0.00035769754510489224,0.21828835955052517,0.00832561642638544,0.2266139759769106
43.42857142857143,0.7978175454603137,0.0005188096992810625,0.18745617641958684,0.014207468420084957,0.2016636448396718
44.57142857142857,0.8061712815331727,0.0007959760005661896,0.16650765812862361,0.026525084336332865,0.19303274246495647
